"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL NIETO (000)",20556,181,5735,6849,3028,1178,509,142,20,,2914
"Catolica (001)",17798,150,4895,5949,2659,1029,440,126,19,,2531
"Cristiana / Evangelica (002)",1254,12,392,416,175,67,32,8,,,152
"Otra (003)",1096,12,328,352,150,59,28,6,,,161
"Ninguna (004)",408,7,120,132,44,23,9,2,1,,70
,,,,,,,,,,,
"URBANA (006)",17883,154,4860,5896,2706,1066,456,127,17,,2601
"Catolica (007)",15401,127,4120,5097,2368,929,392,111,16,,2241
"Cristiana / Evangelica (008)",1124,11,347,371,157,61,30,8,,,139
"Otra (009)",1000,11,288,317,141,57,25,6,,,155
"Ninguna (010)",358,5,105,111,40,19,9,2,1,,66
,,,,,,,,,,,
"RURAL (012)",2673,27,875,953,322,112,53,15,3,,313
"Catolica (013)",2397,23,775,852,291,100,48,15,3,,290
"Cristiana / Evangelica (014)",130,1,45,45,18,6,2,,,,13
"Otra (015)",96,1,40,35,9,2,3,,,,6
"Ninguna (016)",50,2,15,21,4,4,,,,,4
