"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TAMBOPATA (000)",19105,14283,4822
"Red pública dentro de la vivienda (001)",9606,9053,553
"Red pública fuera de la vivienda (002)",4449,3864,585
"Pilón de uso público (003)",993,440,553
"Camión - cisterna u otro similar (004)",176,98,78
"Pozo (005)",1543,427,1116
"Río, acequia, manatial o similar (006)",1875,168,1707
"Vecino (007)",285,151,134
"Otro (008)",178,82,96
,,,
"URBANA (010)",15845,13711,2134
"Red pública dentro de la vivienda (011)",9427,8915,512
"Red pública fuera de la vivienda (012)",4291,3757,534
"Pilón de uso público (013)",890,409,481
"Camión - cisterna u otro similar (014)",149,87,62
"Pozo (015)",546,284,262
"Río, acequia, manatial o similar (016)",168,51,117
"Vecino (017)",246,138,108
"Otro (018)",128,70,58
,,,
"RURAL (020)",3260,572,2688
"Red pública dentro de la vivienda (021)",179,138,41
"Red pública fuera de la vivienda (022)",158,107,51
"Pilón de uso público (023)",103,31,72
"Camión - cisterna u otro similar (024)",27,11,16
"Pozo (025)",997,143,854
"Río, acequia, manatial o similar (026)",1707,117,1590
"Vecino (027)",39,13,26
"Otro (028)",50,12,38
