"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TAHUAMANU (000)",5505,16,304,425,192,450,962,470,1041,1528,50,67
"Agric., ganadería, caza y silvicultura (001)",1583,1,5,17,11,4,957,6,26,556,,
"Pesca (002)",13,,1,,,,5,,,7,,
"Explotación de minas y canteras (003)",341,,21,52,17,17,,183,27,24,,
"Industrias manufactureras (004)",265,,10,12,2,,,208,24,9,,
"Suministro de electricidad, gas y agua (005)",11,,,3,2,,,1,2,3,,
"Construcción (006)",1593,2,35,156,38,,,36,727,599,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",377,,2,24,4,256,,27,9,55,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",45,,1,2,2,14,,25,1,,,
"Comercio al por mayor (009)",33,,1,5,2,19,,,5,1,,
"Comercio al por menor (010)",299,,,17,,223,,2,3,54,,
"Hoteles y restaurantes (011)",275,,1,27,6,143,,,1,97,,
"Trans., almac. y comunicaciones (012)",259,,,5,9,1,,4,207,33,,
"Intermediación financiera (013)",10,,1,2,6,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",73,,17,15,10,20,,,3,8,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",213,11,17,28,63,,,3,13,28,50,
"Enseñanza (016)",191,2,172,8,6,,,,,3,,
"Servicios sociales y de salud (017)",91,,20,55,4,3,,1,2,6,,
"Otras activ. serv.comun.soc y personales (018)",85,,2,18,4,6,,1,,54,,
"Hogares privados con servicio doméstico (019)",45,,,,,,,,,45,,
"Actividad economica no especificada (021)",80,,,3,10,,,,,,,67
"Hombres (022)",4316,13,196,330,109,161,867,455,995,1126,49,15
"Agric., ganadería, caza y silvicultura (023)",1368,1,3,16,7,2,863,6,25,445,,
