"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LORETO (000)",12402,4865,7537
"Casa independiente (001)",9485,4723,4762
"Departamento en edificio (002)",3,3,
"Vivienda en quinta (003)",98,98,
"Vivienda en casa de vecindad (004)",5,5,
"Choza o cabaña (005)",2770,,2770
"Vivienda improvisada (006)",28,28,
"Local no dest.para hab. humana (007)",8,4,4
"Otro tipo (008)",5,4,1
