"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",23292,480,8538,5556,3645,3167,1906
"Hombres (001)",11416,241,4305,2792,1776,1476,826
"Mujeres (002)",11876,239,4233,2764,1869,1691,1080
"Viviendas particulares (003)",23182,480,8533,5503,3608,3153,1905
"Hombres (004)",11333,241,4303,2752,1745,1467,825
"Mujeres (005)",11849,239,4230,2751,1863,1686,1080
"Viviendas colectivas (006)",75,,2,39,25,8,1
"Hombres (007)",58,,1,31,20,5,1
"Mujeres (008)",17,,1,8,5,3,
"Otro tipo (009)",35,,3,14,12,6,
"Hombres (010)",25,,1,9,11,4,
"Mujeres (011)",10,,2,5,1,2,
,,,,,,,
"URBANA (012)",2871,45,869,670,616,435,236
"Hombres (013)",1448,27,443,334,324,218,102
"Mujeres (014)",1423,18,426,336,292,217,134
"Viviendas particulares (015)",2761,45,864,617,579,421,235
"Hombres (016)",1365,27,441,294,293,209,101
"Mujeres (017)",1396,18,423,323,286,212,134
"Viviendas colectivas (018)",75,,2,39,25,8,1
"Hombres (019)",58,,1,31,20,5,1
"Mujeres (020)",17,,1,8,5,3,
"Otro tipo (021)",35,,3,14,12,6,
"Hombres (022)",25,,1,9,11,4,
"Mujeres (023)",10,,2,5,1,2,
,,,,,,,
"RURAL (024)",20421,435,7669,4886,3029,2732,1670
"Hombres (025)",9968,214,3862,2458,1452,1258,724
"Mujeres (026)",10453,221,3807,2428,1577,1474,946
"Viviendas particulares (027)",20421,435,7669,4886,3029,2732,1670
"Hombres (028)",9968,214,3862,2458,1452,1258,724
"Mujeres (029)",10453,221,3807,2428,1577,1474,946
