"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUACAYBAMBA (000)",232,78,154
"Sin nivel (001)",28,7,21
"Primaria (003)",116,40,76
"Secundaria (004)",77,28,49
"Superior no univ. incompleta (005)",5,2,3
"Superior no univ. completa (006)",5,,5
"Superior univ. incompleta (007)",1,1,
"Hombres (010)",186,52,134
"Sin nivel (011)",13,2,11
"Primaria (013)",93,24,69
"Secundaria (014)",72,24,48
"Superior no univ. incompleta (015)",3,1,2
"Superior no univ. completa (016)",4,,4
"Superior univ. incompleta (017)",1,1,
"Mujeres (020)",46,26,20
"Sin nivel (021)",15,5,10
"Primaria (023)",23,16,7
"Secundaria (024)",5,4,1
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",1,,1
,,,
"AREA URBANA (030)",52,13,39
"Sin nivel (031)",3,1,2
"Primaria (033)",16,5,11
"Secundaria (034)",25,6,19
"Superior no univ. incompleta (035)",4,1,3
"Superior no univ. completa (036)",4,,4
"Hombres (040)",46,11,35
"Sin nivel (041)",2,1,1
"Primaria (043)",15,4,11
"Secundaria (044)",24,6,18
"Superior no univ. incompleta (045)",2,,2
"Superior no univ. completa (046)",3,,3
"Mujeres (050)",6,2,4
"Sin nivel (051)",1,,1
"Primaria (053)",1,1,
"Secundaria (054)",1,,1
"Superior no univ. incompleta (055)",2,1,1
"Superior no univ. completa (056)",1,,1
,,,
"AREA RURAL (060)",180,65,115
"Sin nivel (061)",25,6,19
"Primaria (063)",100,35,65
"Secundaria (064)",52,22,30
"Superior no univ. incompleta (065)",1,1,
"Superior no univ. completa (066)",1,,1
"Superior univ. incompleta (067)",1,1,
"Hombres (070)",140,41,99
"Sin nivel (071)",11,1,10
"Primaria (073)",78,20,58
"Secundaria (074)",48,18,30
"Superior no univ. incompleta (075)",1,1,
"Superior no univ. completa (076)",1,,1
"Superior univ. incompleta (077)",1,1,
"Mujeres (080)",40,24,16
"Sin nivel (081)",14,5,9
"Primaria (083)",22,15,7
"Secundaria (084)",4,4,
