"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia DOS DE MAYO (000)",31914,6553,6344,5487,4778,3466,5286
"Católica (001)",25762,5370,5355,4550,3781,2711,3995
"Cristiana/Evangélica (002)",5630,1075,866,844,928,702,1215
"Otra (003)",247,31,39,47,40,28,62
"Ninguna (004)",275,77,84,46,29,25,14
"Hombres (006)",15674,3360,3153,2642,2274,1691,2554
"Católica (007)",12860,2799,2704,2234,1835,1339,1949
"Cristiana/Evangélica (008)",2514,510,375,348,398,323,560
"Otra (009)",119,12,18,25,21,9,34
"Ninguna (010)",181,39,56,35,20,20,11
"Mujeres (012)",16240,3193,3191,2845,2504,1775,2732
"Católica (013)",12902,2571,2651,2316,1946,1372,2046
"Cristiana/Evangélica (014)",3116,565,491,496,530,379,655
"Otra (015)",128,19,21,22,19,19,28
"Ninguna (016)",94,38,28,11,9,5,3
,,,,,,,
"URBANA (018)",11665,2305,2245,2117,1914,1252,1832
"Católica (019)",9343,1866,1838,1762,1524,962,1391
"Cristiana/Evangélica (020)",2028,390,321,300,352,261,404
"Otra (021)",133,19,26,28,22,10,28
"Ninguna (022)",161,30,60,27,16,19,9
"Hombres (024)",5666,1179,1108,997,898,633,851
"Católica (025)",4591,962,911,845,731,491,651
"Cristiana/Evangélica (026)",900,194,139,118,145,127,177
"Otra (027)",61,7,14,13,11,1,15
"Ninguna (028)",114,16,44,21,11,14,8
"Mujeres (030)",5999,1126,1137,1120,1016,619,981
"Católica (031)",4752,904,927,917,793,471,740
"Cristiana/Evangélica (032)",1128,196,182,182,207,134,227
"Otra (033)",72,12,12,15,11,9,13
"Ninguna (034)",47,14,16,6,5,5,1
,,,,,,,
"RURAL (036)",20249,4248,4099,3370,2864,2214,3454
"Católica (037)",16419,3504,3517,2788,2257,1749,2604
"Cristiana/Evangélica (038)",3602,685,545,544,576,441,811
"Otra (039)",114,12,13,19,18,18,34
"Ninguna (040)",114,47,24,19,13,6,5
"Hombres (042)",10008,2181,2045,1645,1376,1058,1703
"Católica (043)",8269,1837,1793,1389,1104,848,1298
"Cristiana/Evangélica (044)",1614,316,236,230,253,196,383
"Otra (045)",58,5,4,12,10,8,19
"Ninguna (046)",67,23,12,14,9,6,3
"Mujeres (048)",10241,2067,2054,1725,1488,1156,1751
"Católica (049)",8150,1667,1724,1399,1153,901,1306
"Cristiana/Evangélica (050)",1988,369,309,314,323,245,428
"Otra (051)",56,7,9,7,8,10,15
"Ninguna (052)",47,24,12,5,4,,2
