"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",22556,3640,6775,5181,4190,2770
"Sin nivel (001)",1657,53,72,260,525,747
"Educación inicial (002)",265,245,12,8,,
"Primaria (003)",7558,2511,584,1203,1817,1443
"Secundaria (004)",7406,831,3449,1781,1058,287
"Superior no univ. incompleta (005)",1845,,1287,393,117,48
"Superior no univ. completa (006)",1653,,680,657,236,80
"Superior univ. incompleta (007)",760,,400,223,101,36
"Superior univ. completa (008)",1412,,291,656,336,129
"PEA (010)",11197,143,3386,3677,2721,1270
"Sin nivel (011)",610,2,29,123,215,241
"Educación inicial (012)",9,3,3,3,,
"Primaria (013)",2875,84,298,664,1100,729
"Secundaria (014)",4018,54,1703,1291,809,161
"Superior no univ. incompleta (015)",843,,444,294,87,18
"Superior no univ. completa (016)",1272,,507,560,167,38
"Superior univ. incompleta (017)",431,,167,167,76,21
"Superior univ. completa (018)",1139,,235,575,267,62
"Ocupada (020)",10201,136,2839,3407,2585,1234
"Sin nivel (021)",583,1,28,113,205,236
"Educación inicial (022)",8,3,2,3,,
"Primaria (023)",2707,79,259,613,1053,703
"Secundaria (024)",3561,53,1401,1187,763,157
"Superior no univ. incompleta (025)",739,,370,269,82,18
"Superior no univ. completa (026)",1139,,430,515,156,38
"Superior univ. incompleta (027)",385,,139,153,72,21
"Superior univ. completa (028)",1079,,210,554,254,61
"Desocupada (030)",996,7,547,270,136,36
