"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PUERTO INCA (000)",9214,9024,2554,1240,1173,873,1309,902,973,190
"Católica (001)",5512,5386,1563,787,732,505,773,494,532,126
"Cristiana/Evangélica (002)",2234,2192,549,263,271,239,330,260,280,42
"Otra (003)",961,948,290,106,93,79,148,104,128,13
"Ninguna (004)",507,498,152,84,77,50,58,44,33,9
,,,,,,,,,,
"URBANA (006)",2129,2071,658,281,269,219,284,178,182,58
"Católica (007)",1291,1249,395,193,176,122,170,88,105,42
"Cristiana/Evangélica (008)",617,603,186,63,68,71,89,67,59,14
"Otra (009)",158,156,55,13,15,18,21,19,15,2
"Ninguna (010)",63,63,22,12,10,8,4,4,3,
,,,,,,,,,,
"RURAL (012)",7085,6953,1896,959,904,654,1025,724,791,132
"Católica (013)",4221,4137,1168,594,556,383,603,406,427,84
"Cristiana/Evangélica (014)",1617,1589,363,200,203,168,241,193,221,28
"Otra (015)",803,792,235,93,78,61,127,85,113,11
"Ninguna (016)",444,435,130,72,67,42,54,40,30,9
