"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BAGUA (000)",24239,1755,77,10391,7609,956,1816,443,1192
"Empleado (001)",3756,21,3,273,782,366,1197,217,897
"Obrero (002)",4822,360,7,2417,1770,100,102,40,26
"Trabajador independiente (003)",10690,802,42,5203,3470,379,424,147,223
"Empleador o patrono (004)",613,36,,289,201,23,30,15,19
"Trabajador familiar no remunerado (005)",3856,482,25,1973,1214,62,54,21,25
"Trabajador del hogar (006)",502,54,,236,172,26,9,3,2
"Hombres (008)",17619,884,64,7887,6120,625,1057,283,699
"Empleado (009)",2035,8,2,151,488,188,604,115,479
"Obrero (010)",4320,278,5,2152,1637,96,95,36,21
"Trabajador independiente (011)",8549,447,37,4275,2919,290,310,103,168
"Empleador o patrono (012)",500,19,,236,177,18,22,11,17
"Trabajador familiar no remunerado (013)",2194,132,20,1061,890,33,26,18,14
"Trabajador del hogar (014)",21,,,12,9,,,,
"Mujeres (016)",6620,871,13,2504,1489,331,759,160,493
"Empleado (017)",1721,13,1,122,294,178,593,102,418
"Obrero (018)",502,82,2,265,133,4,7,4,5
"Trabajador independiente (019)",2141,355,5,928,551,89,114,44,55
"Empleador o patrono (020)",113,17,,53,24,5,8,4,2
"Trabajador familiar no remunerado (021)",1662,350,5,912,324,29,28,3,11
"Trabajador del hogar (022)",481,54,,224,163,26,9,3,2
,,,,,,,,,
"URBANA (024)",12143,388,14,3575,4350,780,1562,400,1074
"Empleado (025)",3299,19,3,246,714,302,1023,196,796
"Obrero (026)",1952,81,,805,864,71,76,31,24
"Trabajador independiente (027)",5154,196,6,1864,2036,316,382,143,211
"Empleador o patrono (028)",326,6,,105,135,20,28,13,19
"Trabajador familiar no remunerado (029)",1012,47,5,385,447,47,45,14,22
"Trabajador del hogar (030)",400,39,,170,154,24,8,3,2
"Hombres (032)",8248,183,10,2575,3252,496,851,252,629
"Empleado (033)",1747,8,2,135,446,159,467,105,425
"Obrero (034)",1761,62,,721,794,68,70,27,19
"Trabajador independiente (035)",3889,94,5,1425,1601,233,274,100,157
"Empleador o patrono (036)",270,4,,86,117,16,21,9,17
"Trabajador familiar no remunerado (037)",565,15,3,199,287,20,19,11,11
"Trabajador del hogar (038)",16,,,9,7,,,,
"Mujeres (040)",3895,205,4,1000,1098,284,711,148,445
"Empleado (041)",1552,11,1,111,268,143,556,91,371
"Obrero (042)",191,19,,84,70,3,6,4,5
"Trabajador independiente (043)",1265,102,1,439,435,83,108,43,54
"Empleador o patrono (044)",56,2,,19,18,4,7,4,2
"Trabajador familiar no remunerado (045)",447,32,2,186,160,27,26,3,11
"Trabajador del hogar (046)",384,39,,161,147,24,8,3,2
,,,,,,,,,
"RURAL (048)",12096,1367,63,6816,3259,176,254,43,118
"Empleado (049)",457,2,,27,68,64,174,21,101
"Obrero (050)",2870,279,7,1612,906,29,26,9,2
"Trabajador independiente (051)",5536,606,36,3339,1434,63,42,4,12
"Empleador o patrono (052)",287,30,,184,66,3,2,2,
"Trabajador familiar no remunerado (053)",2844,435,20,1588,767,15,9,7,3
"Trabajador del hogar (054)",102,15,,66,18,2,1,,
"Hombres (056)",9371,701,54,5312,2868,129,206,31,70
"Empleado (057)",288,,,16,42,29,137,10,54
"Obrero (058)",2559,216,5,1431,843,28,25,9,2
"Trabajador independiente (059)",4660,353,32,2850,1318,57,36,3,11
"Empleador o patrono (060)",230,15,,150,60,2,1,2,
"Trabajador familiar no remunerado (061)",1629,117,17,862,603,13,7,7,3
"Trabajador del hogar (062)",5,,,3,2,,,,
"Mujeres (064)",2725,666,9,1504,391,47,48,12,48
"Empleado (065)",169,2,,11,26,35,37,11,47
"Obrero (066)",311,63,2,181,63,1,1,,
"Trabajador independiente (067)",876,253,4,489,116,6,6,1,1
"Empleador o patrono (068)",57,15,,34,6,1,1,,
"Trabajador familiar no remunerado (069)",1215,318,3,726,164,2,2,,
"Trabajador del hogar (070)",97,15,,63,16,2,1,,
