"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AYABACA (000)",1636,103,901,382,183,67
"Sin nivel (001)",174,23,44,40,34,33
"Educación inicial (002)",2,2,,,,
"Primaria (003)",882,62,462,216,108,34
"Secundaria (004)",382,16,276,72,18,
"Superior no univ. incompleta (005)",40,,25,9,6,
"Superior no univ. completa (006)",95,,55,30,10,
"Superior univ. incompleta (007)",20,,15,5,,
"Superior univ. completa (008)",41,,24,10,7,
"Hombres (010)",1361,77,718,335,166,65
"Sin nivel (011)",142,17,32,34,28,31
"Educación inicial (012)",2,2,,,,
"Primaria (013)",774,47,385,204,104,34
"Secundaria (014)",319,11,227,64,17,
"Superior no univ. incompleta (015)",23,,13,5,5,
"Superior no univ. completa (016)",59,,34,19,6,
"Superior univ. incompleta (017)",14,,10,4,,
"Superior univ. completa (018)",28,,17,5,6,
"Mujeres (020)",275,26,183,47,17,2
"Sin nivel (021)",32,6,12,6,6,2
"Primaria (023)",108,15,77,12,4,
"Secundaria (024)",63,5,49,8,1,
"Superior no univ. incompleta (025)",17,,12,4,1,
"Superior no univ. completa (026)",36,,21,11,4,
"Superior univ. incompleta (027)",6,,5,1,,
"Superior univ. completa (028)",13,,7,5,1,
,,,,,,
"Area Urbana (030)",361,8,195,94,53,11
"Sin nivel (031)",10,,,5,3,2
"Educación inicial (032)",1,1,,,,
"Primaria (033)",75,3,26,22,15,9
"Secundaria (034)",115,4,71,27,13,
"Superior no univ. incompleta (035)",31,,20,5,6,
"Superior no univ. completa (036)",75,,43,23,9,
"Superior univ. incompleta (037)",18,,14,4,,
"Superior univ. completa (038)",36,,21,8,7,
"Hombres (040)",256,6,130,66,43,11
"Sin nivel (041)",8,,,4,2,2
"Educación inicial (042)",1,1,,,,
"Primaria (043)",56,2,13,19,13,9
"Secundaria (044)",90,3,54,21,12,
"Superior no univ. incompleta (045)",18,,11,2,5,
"Superior no univ. completa (046)",46,,28,13,5,
"Superior univ. incompleta (047)",12,,9,3,,
"Superior univ. completa (048)",25,,15,4,6,
"Mujeres (050)",105,2,65,28,10,
"Sin nivel (051)",2,,,1,1,
"Primaria (053)",19,1,13,3,2,
"Secundaria (054)",25,1,17,6,1,
"Superior no univ. incompleta (055)",13,,9,3,1,
"Superior no univ. completa (056)",29,,15,10,4,
"Superior univ. incompleta (057)",6,,5,1,,
"Superior univ. completa (058)",11,,6,4,1,
,,,,,,
"Area Rural (060)",1275,95,706,288,130,56
"Sin nivel (061)",164,23,44,35,31,31
"Educación inicial (062)",1,1,,,,
"Primaria (063)",807,59,436,194,93,25
"Secundaria (064)",267,12,205,45,5,
"Superior no univ. incompleta (065)",9,,5,4,,
"Superior no univ. completa (066)",20,,12,7,1,
"Superior univ. incompleta (067)",2,,1,1,,
"Superior univ. completa (068)",5,,3,2,,
"Hombres (070)",1105,71,588,269,123,54
"Sin nivel (071)",134,17,32,30,26,29
"Educación inicial (072)",1,1,,,,
"Primaria (073)",718,45,372,185,91,25
"Secundaria (074)",229,8,173,43,5,
"Superior no univ. incompleta (075)",5,,2,3,,
"Superior no univ. completa (076)",13,,6,6,1,
"Superior univ. incompleta (077)",2,,1,1,,
"Superior univ. completa (078)",3,,2,1,,
"Mujeres (080)",170,24,118,19,7,2
"Sin nivel (081)",30,6,12,5,5,2
"Primaria (083)",89,14,64,9,2,
"Secundaria (084)",38,4,32,2,,
"Superior no univ. incompleta (085)",4,,3,1,,
"Superior no univ. completa (086)",7,,6,1,,
"Superior univ. completa (088)",2,,1,1,,
