"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TAMBOPATA (000)",18932,412,8235,5484,1661,517,230,62,5,,2326
"Conviviente (001)",10851,235,5135,3123,863,241,98,20,1,,1135
"Separado(a) (002)",1135,41,522,332,95,33,19,5,,,88
"Casado(a) (003)",4179,70,1583,1350,519,178,78,22,1,,378
"Viudo(a) (004)",693,23,346,172,49,10,18,11,1,,63
"Divorciado(a) (005)",139,3,47,53,17,3,2,,,,14
"Soltero(a) (006)",1935,40,602,454,118,52,15,4,2,,648
,,,,,,,,,,,
"URBANA (008)",16109,319,6802,4767,1496,466,210,54,5,,1990
"Conviviente (009)",8964,172,4122,2640,765,208,86,16,1,,954
"Separado(a) (010)",989,35,456,289,83,28,17,5,,,76
"Casado(a) (011)",3665,58,1325,1206,480,168,75,18,1,,334
"Viudo(a) (012)",598,20,297,152,42,10,15,11,1,,50
"Divorciado(a) (013)",130,3,42,51,17,3,2,,,,12
"Soltero(a) (014)",1763,31,560,429,109,49,15,4,2,,564
,,,,,,,,,,,
"RURAL (016)",2823,93,1433,717,165,51,20,8,,,336
"Conviviente (017)",1887,63,1013,483,98,33,12,4,,,181
"Separado(a) (018)",146,6,66,43,12,5,2,,,,12
"Casado(a) (019)",514,12,258,144,39,10,3,4,,,44
"Viudo(a) (020)",95,3,49,20,7,,3,,,,13
"Divorciado(a) (021)",9,,5,2,,,,,,,2
"Soltero(a) (022)",172,9,42,25,9,3,,,,,84
