"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia MORROPON",,,,,,,
"Viviendas particulares (001)",38414,7480,725,1973,16603,444,11189
"Ocupantes presentes (002)",159347,32185,3005,8360,69107,1795,44895
"Casa independiente",,,,,,,
"Viviendas particulares (004)",37523,7407,712,1965,16294,436,10709
"Ocupantes presentes (005)",155615,31942,2963,8328,67647,1772,42963
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",24,24,,,,,
"Ocupantes presentes (008)",94,94,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",35,21,5,,,,9
"Ocupantes presentes (011)",97,50,15,,,,32
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",53,20,4,,,,29
"Ocupantes presentes (014)",175,68,15,,,,92
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",745,2,,7,299,8,429
"Ocupantes presentes (017)",3260,7,,31,1427,23,1772
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",18,2,3,,6,,7
"Ocupantes presentes (020)",64,8,8,,24,,24
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",13,4,1,1,3,,4
"Ocupantes presentes (023)",31,16,4,1,5,,5
"Otro tipo",,,,,,,
"Viviendas particulares (025)",3,,,,1,,2
"Ocupantes presentes (026)",11,,,,4,,7
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",22201,7276,581,1399,9353,184,3408
"Ocupantes presentes (029)",91452,31378,2407,5932,38387,758,12590
"Casa independiente",,,,,,,
"Viviendas particulares (031)",22058,7205,568,1398,9346,184,3357
"Ocupantes presentes (032)",90986,31142,2365,5931,38360,758,12430
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",24,24,,,,,
"Ocupantes presentes (035)",94,94,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",35,21,5,,,,9
"Ocupantes presentes (038)",97,50,15,,,,32
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",53,20,4,,,,29
"Ocupantes presentes (041)",175,68,15,,,,92
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",18,2,3,,6,,7
"Ocupantes presentes (047)",64,8,8,,24,,24
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",11,4,1,1,1,,4
"Ocupantes presentes (050)",29,16,4,1,3,,5
"Otro tipo",,,,,,,
"Viviendas particulares (052)",2,,,,,,2
"Ocupantes presentes (053)",7,,,,,,7
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",16213,204,144,574,7250,260,7781
"Ocupantes presentes (056)",67895,807,598,2428,30720,1037,32305
"Casa independiente",,,,,,,
"Viviendas particulares (058)",15465,202,144,567,6948,252,7352
"Ocupantes presentes (059)",64629,800,598,2397,29287,1014,30533
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",745,2,,7,299,8,429
"Ocupantes presentes (071)",3260,7,,31,1427,23,1772
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,2,,
"Ocupantes presentes (077)",2,,,,2,,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,1,,
"Ocupantes presentes (080)",4,,,,4,,
