"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MELGAR (000)",1638,702,936
"De 14 a 29 años (001)",928,502,426
"De 30 a 44 años (002)",509,176,333
"De 45 a 64 años (003)",165,24,141
"De 65 y más años (004)",36,,36
"Hombres (005)",1161,465,696
"De 14 a 29 años (006)",616,324,292
"De 30 a 44 años (007)",380,121,259
"De 45 a 64 años (008)",137,20,117
"De 65 y más años (009)",28,,28
"Mujeres (010)",477,237,240
"De 14 a 29 años (011)",312,178,134
"De 30 a 44 años (012)",129,55,74
"De 45 a 64 años (013)",28,4,24
"De 65 y más años (014)",8,,8
,,,
"AREA URBANA (015)",1023,397,626
"De 14 a 29 años (016)",534,281,253
"De 30 a 44 años (017)",347,102,245
"De 45 a 64 años (018)",112,14,98
"De 65 y más años (019)",30,,30
"Hombres (020)",689,244,445
"De 14 a 29 años (021)",335,172,163
"De 30 a 44 años (022)",245,62,183
"De 45 a 64 años (023)",87,10,77
"De 65 y más años (024)",22,,22
"Mujeres (025)",334,153,181
"De 14 a 29 años (026)",199,109,90
"De 30 a 44 años (027)",102,40,62
"De 45 a 64 años (028)",25,4,21
"De 65 y más años (029)",8,,8
,,,
"AREA RURAL (030)",615,305,310
"De 14 a 29 años (031)",394,221,173
"De 30 a 44 años (032)",162,74,88
"De 45 a 64 años (033)",53,10,43
"De 65 y más años (034)",6,,6
"Hombres (035)",472,221,251
"De 14 a 29 años (036)",281,152,129
"De 30 a 44 años (037)",135,59,76
"De 45 a 64 años (038)",50,10,40
"De 65 y más años (039)",6,,6
"Mujeres (040)",143,84,59
"De 14 a 29 años (041)",113,69,44
"De 30 a 44 años (042)",27,15,12
"De 45 a 64 años (043)",3,,3
