"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia OCROS (000)",3399,3298,833,399,457,370,582,353,181,123,101,10181
"De 12 a 14 años (001)",244,244,244,,,,,,,,,
"De 15 a 19 años (002)",326,320,283,30,7,,,,,,6,44
"De 20 a 24 años (003)",318,286,110,101,57,18,,,,,32,269
"De 25 a 29 años (004)",290,271,47,76,90,36,22,,,,19,456
"De 30 a 34 años (005)",297,285,42,48,77,59,48,11,,,12,650
"De 35 a 39 años (006)",259,251,23,27,50,52,72,24,2,1,8,771
"De 40 a 44 años (007)",246,241,16,23,34,43,66,31,23,5,5,960
"De 45 a 49 años (008)",242,239,11,16,33,31,70,45,21,12,3,1079
"De 50 y más años (009)",1177,1161,57,78,109,131,304,242,135,105,16,5952
"PEA (010)",938,900,224,138,144,109,144,87,37,17,38,2445
"De 12 a 14 años (011)",13,13,13,,,,,,,,,
"De 15 a 19 años (012)",51,50,41,6,3,,,,,,1,12
"De 20 a 24 años (013)",112,100,53,28,16,3,,,,,12,69
"De 25 a 29 años (014)",98,92,29,24,25,9,5,,,,6,121
"De 30 a 34 años (015)",114,108,35,24,21,17,10,1,,,6,165
"De 35 a 39 años (016)",104,100,18,16,21,19,20,6,,,4,241
"De 40 a 44 años (017)",108,104,10,12,15,16,26,13,9,3,4,397
"De 45 a 49 años (018)",73,72,8,5,16,11,15,12,4,1,1,259
"De 50 y más años (019)",265,261,17,23,27,34,68,55,24,13,4,1181
"Ocupada (020)",920,884,214,135,144,108,143,86,37,17,36,2428
"De 12 a 14 años (021)",13,13,13,,,,,,,,,
"De 15 a 19 años (022)",49,48,40,5,3,,,,,,1,11
"De 20 a 24 años (023)",105,94,48,27,16,3,,,,,11,68
"De 25 a 29 años (024)",96,90,27,24,25,9,5,,,,6,121
