"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PICOTA (000)",34765,3950,893,18216,9725,571,836,227,347
"Jefe o Jefa (001)",8861,406,5,5039,2675,171,339,77,149
"Esposa(o)/ compa¤era(o) (002)",7015,603,9,4187,1832,95,189,33,67
"Hijo(a)/ hijastro(a) (003)",13689,2173,711,6511,3799,181,184,71,59
"Yerno/ nuera (004)",616,11,,247,280,26,34,10,8
"Nieto(a) (005)",1300,343,114,580,228,16,11,5,3
"Padres/ suegros (006)",481,139,,318,19,2,,,3
"Otro(a) pariente (007)",2119,244,50,1079,616,49,36,17,28
"Trabajador(a) del hogar (008)",94,3,,51,38,2,,,
"Pensionista (009)",71,,,16,38,6,5,,6
"Otro(a) no pariente (010)",519,28,4,188,200,23,38,14,24
"Hombres (012)",18456,1795,451,9460,5588,313,488,145,216
"Jefe o Jefa (013)",7784,288,4,4464,2392,145,298,68,125
"Esposa(o)/ compa¤era(o) (014)",195,11,,77,83,5,7,5,7
"Hijo(a)/ hijastro(a) (015)",7709,1154,370,3623,2282,92,113,38,37
"Yerno/ nuera (016)",252,3,,100,105,12,19,6,7
"Nieto(a) (017)",660,175,56,287,126,7,4,3,2
"Padres/ suegros (018)",144,22,,105,15,1,,,1
"Otro(a) pariente (019)",1293,121,20,652,414,32,22,14,18
"Trabajador(a) del hogar (020)",14,1,,6,7,,,,
"Pensionista (021)",46,,,10,26,4,3,,3
"Otro(a) no pariente (022)",359,20,1,136,138,15,22,11,16
"Mujeres (024)",16309,2155,442,8756,4137,258,348,82,131
"Jefe o Jefa (025)",1077,118,1,575,283,26,41,9,24
"Esposa(o)/ compa¤era(o) (026)",6820,592,9,4110,1749,90,182,28,60
"Hijo(a)/ hijastro(a) (027)",5980,1019,341,2888,1517,89,71,33,22
"Yerno/ nuera (028)",364,8,,147,175,14,15,4,1
"Nieto(a) (029)",640,168,58,293,102,9,7,2,1
"Padres/ suegros (030)",337,117,,213,4,1,,,2
"Otro(a) pariente (031)",826,123,30,427,202,17,14,3,10
"Trabajador(a) del hogar (032)",80,2,,45,31,2,,,
"Pensionista (033)",25,,,6,12,2,2,,3
"Otro(a) no pariente (034)",160,8,3,52,62,8,16,3,8
,,,,,,,,,
"URBANA (036)",21736,1879,633,10141,7312,500,756,200,315
"Jefe o Jefa (037)",5577,143,5,2809,1950,154,311,68,137
"Esposa(o)/ compa¤era(o) (038)",4370,198,6,2432,1391,84,169,31,59
"Hijo(a)/ hijastro(a) (039)",8336,1088,498,3417,2901,153,166,60,53
"Yerno/ nuera (040)",426,4,,145,208,23,29,9,8
"Nieto(a) (041)",917,222,88,399,174,15,11,5,3
"Padres/ suegros (042)",334,72,,243,15,2,,,2
"Otro(a) pariente (043)",1263,132,32,539,448,40,33,14,25
"Trabajador(a) del hogar (044)",76,3,,37,34,2,,,
"Pensionista (045)",69,,,15,37,6,5,,6
"Otro(a) no pariente (046)",368,17,4,105,154,21,32,13,22
"Hombres (048)",11313,868,321,5048,4043,269,439,126,199
