"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia HUARAL (000)",78187,37672,2625,1072,33466,1305,40,162,83,1762
"Hombres (001)",29005,18722,1755,577,6060,616,26,89,83,1077
"Mujeres (002)",49182,18950,870,495,27406,689,14,73,,685
"De 06 a 14 años (003)",28277,26889,,,885,282,,17,,204
"Hombres (004)",14300,13637,,,404,148,,8,,103
"Mujeres (005)",13977,13252,,,481,134,,9,,101
"De 15 a 29 años (006)",21685,10433,18,178,10313,,12,36,82,613
"Hombres (007)",7517,4941,10,75,2005,,6,20,82,378
"Mujeres (008)",14168,5492,8,103,8308,,6,16,,235
"De 30 a 44 años (009)",10550,259,56,218,9601,,10,29,1,376
"Hombres (010)",1815,98,32,106,1300,,9,19,1,250
"Mujeres (011)",8735,161,24,112,8301,,1,10,,126
"De 45 a 64 años (012)",9307,76,567,276,7998,25,14,34,,317
"Hombres (013)",2003,41,347,151,1212,12,8,20,,212
"Mujeres (014)",7304,35,220,125,6786,13,6,14,,105
"De 65 y más años (015)",8368,15,1984,400,4669,998,4,46,,252
"Hombres (016)",3370,5,1366,245,1139,456,3,22,,134
"Mujeres (017)",4998,10,618,155,3530,542,1,24,,118
,,,,,,,,,,
"AREA URBANA (018)",64867,31732,2270,853,27250,1127,35,113,79,1408
"Hombres (019)",23707,15651,1541,429,4607,534,21,62,79,783
"Mujeres (020)",41160,16081,729,424,22643,593,14,51,,625
"De 06 a 14 años (021)",23869,22628,,,794,259,,10,,178
"Hombres (022)",12024,11428,,,367,136,,4,,89
"Mujeres (023)",11845,11200,,,427,123,,6,,89
"De 15 a 29 años (024)",17905,8833,17,158,8272,,11,29,78,507
"Hombres (025)",6066,4132,10,66,1474,,5,15,78,286
"Mujeres (026)",11839,4701,7,92,6798,,6,14,,221
"De 30 a 44 años (027)",8566,205,53,181,7831,,8,20,1,267
"Hombres (028)",1215,63,31,83,866,,7,12,1,152
"Mujeres (029)",7351,142,22,98,6965,,1,8,,115
"De 45 a 64 años (030)",7645,54,518,225,6548,22,12,22,,244
"Hombres (031)",1585,25,316,112,955,12,6,14,,145
"Mujeres (032)",6060,29,202,113,5593,10,6,8,,99
"De 65 y más años (033)",6882,12,1682,289,3805,846,4,32,,212
"Hombres (034)",2817,3,1184,168,945,386,3,17,,111
"Mujeres (035)",4065,9,498,121,2860,460,1,15,,101
,,,,,,,,,,
"AREA RURAL (036)",13320,5940,355,219,6216,178,5,49,4,354
"Hombres (037)",5298,3071,214,148,1453,82,5,27,4,294
"Mujeres (038)",8022,2869,141,71,4763,96,,22,,60
"De 06 a 14 años (039)",4408,4261,,,91,23,,7,,26
"Hombres (040)",2276,2209,,,37,12,,4,,14
"Mujeres (041)",2132,2052,,,54,11,,3,,12
"De 15 a 29 años (042)",3780,1600,1,20,2041,,1,7,4,106
"Hombres (043)",1451,809,,9,531,,1,5,4,92
"Mujeres (044)",2329,791,1,11,1510,,,2,,14
"De 30 a 44 años (045)",1984,54,3,37,1770,,2,9,,109
"Hombres (046)",600,35,1,23,434,,2,7,,98
"Mujeres (047)",1384,19,2,14,1336,,,2,,11
"De 45 a 64 años (048)",1662,22,49,51,1450,3,2,12,,73
"Hombres (049)",418,16,31,39,257,,2,6,,67
"Mujeres (050)",1244,6,18,12,1193,3,,6,,6
"De 65 y más años (051)",1486,3,302,111,864,152,,14,,40
"Hombres (052)",553,2,182,77,194,70,,5,,23
"Mujeres (053)",933,1,120,34,670,82,,9,,17
