"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SATIPO (000)",41359,1316,20135,11182,2867,908,423,137,18,,4373
"Catolica (001)",26279,696,12468,7357,1985,614,258,87,8,,2806
"Cristiana / Evangelica (002)",11522,416,5854,3055,697,233,134,36,7,,1090
"Otra (003)",1011,51,459,278,80,23,10,5,1,,104
"Ninguna (004)",2547,153,1354,492,105,38,21,9,2,,373
,,,,,,,,,,,
"URBANA (006)",12807,227,5358,3756,1260,422,196,58,7,,1523
"Catolica (007)",8919,144,3600,2647,938,316,128,41,4,,1101
"Cristiana / Evangelica (008)",3102,68,1405,893,260,84,58,13,3,,318
"Otra (009)",365,5,134,113,38,16,5,3,,,51
"Ninguna (010)",421,10,219,103,24,6,5,1,,,53
,,,,,,,,,,,
"RURAL (012)",28552,1089,14777,7426,1607,486,227,79,11,,2850
"Catolica (013)",17360,552,8868,4710,1047,298,130,46,4,,1705
"Cristiana / Evangelica (014)",8420,348,4449,2162,437,149,76,23,4,,772
"Otra (015)",646,46,325,165,42,7,5,2,1,,53
"Ninguna (016)",2126,143,1135,389,81,32,16,8,2,,320
