"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAYLAS (000)",50297,2586,13409,9159,7071,6200,4308,3212,4352
"Quechua (001)",28772,1237,6864,4762,4013,3708,2710,2250,3228
"Aymara (002)",18,2,2,,3,5,5,,1
"Ashaninca (003)",5,,2,1,1,,,,1
"Otra lengua nativa (004)",4,2,1,,,,1,,
"Castellano (005)",21422,1342,6521,4377,3040,2477,1590,959,1116
"Idioma extranjero (006)",7,,,2,1,2,,1,1
"Es sordomudo/a (007)",69,3,19,17,13,8,2,2,5
"Hombres (009)",24734,1297,6836,4589,3390,3058,2100,1549,1915
"Quechua (010)",13953,636,3467,2373,1912,1833,1304,1063,1365
"Aymara (011)",10,2,1,,1,2,4,,
"Ashaninca (012)",3,,2,,1,,,,
"Otra lengua nativa (013)",2,1,1,,,,,,
"Castellano (014)",10724,656,3355,2206,1469,1218,791,484,545
"Idioma extranjero (015)",6,,,1,1,2,,1,1
"Es sordomudo/a (016)",36,2,10,9,6,3,1,1,4
"Mujeres (018)",25563,1289,6573,4570,3681,3142,2208,1663,2437
"Quechua (019)",14819,601,3397,2389,2101,1875,1406,1187,1863
"Aymara (020)",8,,1,,2,3,1,,1
"Ashaninca (021)",2,,,1,,,,,1
"Otra lengua nativa (022)",2,1,,,,,1,,
"Castellano (023)",10698,686,3166,2171,1571,1259,799,475,571
"Idioma extranjero (024)",1,,,1,,,,,
"Es sordomudo/a (025)",33,1,9,8,7,5,1,1,1
,,,,,,,,,
"URBANA (027)",16529,686,3622,3161,2633,2279,1624,1134,1390
"Quechua (028)",3677,19,268,553,655,607,487,445,643
"Aymara (029)",5,,,,,1,3,,1
"Ashaninca (030)",2,,1,1,,,,,
"Otra lengua nativa (031)",1,,,,,,1,,
"Castellano (032)",12829,667,3347,2602,1977,1670,1133,688,745
"Idioma extranjero (033)",5,,,2,1,1,,1,
"Es sordomudo/a (034)",10,,6,3,,,,,1
"Hombres (036)",8051,338,1880,1575,1231,1086,779,569,593
"Quechua (037)",1708,12,136,276,301,292,232,213,246
"Aymara (038)",3,,,,,,3,,
"Ashaninca (039)",1,,1,,,,,,
"Castellano (041)",6331,326,1740,1297,929,793,544,355,347
"Idioma extranjero (042)",4,,,1,1,1,,1,
"Es sordomudo/a (043)",4,,3,1,,,,,
"Mujeres (045)",8478,348,1742,1586,1402,1193,845,565,797
"Quechua (046)",1969,7,132,277,354,315,255,232,397
"Aymara (047)",2,,,,,1,,,1
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",1,,,,,,1,,
"Castellano (050)",6498,341,1607,1305,1048,877,589,333,398
"Idioma extranjero (051)",1,,,1,,,,,
"Es sordomudo/a (052)",6,,3,2,,,,,1
,,,,,,,,,
"RURAL (054)",33768,1900,9787,5998,4438,3921,2684,2078,2962
"Quechua (055)",25095,1218,6596,4209,3358,3101,2223,1805,2585
"Aymara (056)",13,2,2,,3,4,2,,
"Ashaninca (057)",3,,1,,1,,,,1
"Otra lengua nativa (058)",3,2,1,,,,,,
"Castellano (059)",8593,675,3174,1775,1063,807,457,271,371
"Idioma extranjero (060)",2,,,,,1,,,1
"Es sordomudo/a (061)",59,3,13,14,13,8,2,2,4
"Hombres (063)",16683,959,4956,3014,2159,1972,1321,980,1322
"Quechua (064)",12245,624,3331,2097,1611,1541,1072,850,1119
"Aymara (065)",7,2,1,,1,2,1,,
"Ashaninca (066)",2,,1,,1,,,,
"Otra lengua nativa (067)",2,1,1,,,,,,
"Castellano (068)",4393,330,1615,909,540,425,247,129,198
"Idioma extranjero (069)",2,,,,,1,,,1
"Es sordomudo/a (070)",32,2,7,8,6,3,1,1,4
"Mujeres (072)",17085,941,4831,2984,2279,1949,1363,1098,1640
"Quechua (073)",12850,594,3265,2112,1747,1560,1151,955,1466
"Aymara (074)",6,,1,,2,2,1,,
"Ashaninca (075)",1,,,,,,,,1
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",4200,345,1559,866,523,382,210,142,173
"Es sordomudo/a (079)",27,1,6,6,7,5,1,1,
