"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHUPACA",,,,,,,,,
"Viviendas particulares (001)",903,523,138,40,98,14,4,6,80
"Ocupantes presentes (002)",3780,2194,566,193,391,59,16,22,339
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",894,519,136,39,98,14,4,6,78
"Ocupantes presentes (005)",3750,2182,558,189,391,59,16,22,333
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",3,2,1,,,,,,
"Ocupantes presentes (008)",7,3,4,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,,,1,,,,,
"Ocupantes presentes (011)",4,,,4,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2,1,,,,,,,1
"Ocupantes presentes (014)",11,8,,,,,,,3
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1,1,,,,,,,
"Ocupantes presentes (017)",1,1,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,,1,,,,,,1
"Ocupantes presentes (023)",7,,4,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",531,330,84,20,41,7,3,4,42
"Ocupantes presentes (029)",2249,1429,348,104,153,29,14,13,159
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",523,327,82,19,41,7,3,4,40
"Ocupantes presentes (032)",2220,1418,340,100,153,29,14,13,153
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",3,2,1,,,,,,
"Ocupantes presentes (035)",7,3,4,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,,,1,,,,,
"Ocupantes presentes (038)",4,,,4,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2,1,,,,,,,1
"Ocupantes presentes (041)",11,8,,,,,,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,1,,,,,,1
"Ocupantes presentes (050)",7,,4,,,,,,3
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",372,193,54,20,57,7,1,2,38
"Ocupantes presentes (056)",1531,765,218,89,238,30,2,9,180
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",371,192,54,20,57,7,1,2,38
"Ocupantes presentes (059)",1530,764,218,89,238,30,2,9,180
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1,1,,,,,,,
"Ocupantes presentes (071)",1,1,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
