"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHURCAMPA (000)",11107,51,170,578,1039,2089,4479,2701
"De 12 a 14 años (001)",14,,,,,,,14
"De 15 a 19 años (002)",404,,,,,,274,130
"De 20 a 24 años (003)",1268,,,,,,805,463
"De 25 a 29 años (004)",1302,,,,,41,911,350
"De 30 a 34 años (005)",1247,,,,1,180,825,241
"De 35 a 39 años (006)",1231,,,,6,294,734,197
"De 40 a 44 años (007)",1095,,,1,17,379,540,158
"De 45 a 49 años (008)",984,,,2,88,442,317,135
"De 50 y más años (009)",3562,51,170,575,927,753,73,1013
"PEA (010)",3444,2,24,114,290,741,1387,886
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",70,,,,,,49,21
"De 20 a 24 años (013)",357,,,,,,203,154
"De 25 a 29 años (014)",442,,,,,9,286,147
"De 30 a 34 años (015)",486,,,,,71,310,105
"De 35 a 39 años (016)",456,,,,3,109,256,88
"De 40 a 44 años (017)",370,,,,5,145,165,55
"De 45 a 49 años (018)",343,,,1,30,164,97,51
"De 50 y más años (019)",919,2,24,113,252,243,21,264
"Ocupada (020)",3388,2,24,113,288,733,1372,856
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",68,,,,,,48,20
"De 20 a 24 años (023)",339,,,,,,199,140
"De 25 a 29 años (024)",432,,,,,9,282,141
"De 30 a 34 años (025)",481,,,,,71,309,101
"De 35 a 39 años (026)",448,,,,3,107,252,86
"De 40 a 44 años (027)",365,,,,5,142,165,53
"De 45 a 49 años (028)",340,,,1,30,162,96,51
"De 50 y más años (029)",914,2,24,112,250,242,21,263
"Desocupada (030)",56,,,1,2,8,15,30
"De 15 a 19 años (032)",2,,,,,,1,1
"De 20 a 24 años (033)",18,,,,,,4,14
"De 25 a 29 años (034)",10,,,,,,4,6
"De 30 a 34 años (035)",5,,,,,,1,4
"De 35 a 39 años (036)",8,,,,,2,4,2
"De 40 a 44 años (037)",5,,,,,3,,2
"De 45 a 49 años (038)",3,,,,,2,1,
"De 50 y más años (039)",5,,,1,2,1,,1
"No PEA (040)",7663,49,146,464,749,1348,3092,1815
"De 12 a 14 años (041)",13,,,,,,,13
"De 15 a 19 años (042)",334,,,,,,225,109
"De 20 a 24 años (043)",911,,,,,,602,309
"De 25 a 29 años (044)",860,,,,,32,625,203
"De 30 a 34 años (045)",761,,,,1,109,515,136
"De 35 a 39 años (046)",775,,,,3,185,478,109
"De 40 a 44 años (047)",725,,,1,12,234,375,103
"De 45 a 49 años (048)",641,,,1,58,278,220,84
