"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ASUNCION (000)",92,11,81
"De 14 a 29 años (001)",39,10,29
"De 30 a 44 años (002)",33,1,32
"De 45 a 64 años (003)",13,,13
"De 65 y más años (004)",7,,7
"Hombres (005)",77,8,69
"De 14 a 29 años (006)",32,8,24
"De 30 a 44 años (007)",27,,27
"De 45 a 64 años (008)",11,,11
"De 65 y más años (009)",7,,7
"Mujeres (010)",15,3,12
"De 14 a 29 años (011)",7,2,5
"De 30 a 44 años (012)",6,1,5
"De 45 a 64 años (013)",2,,2
,,,
"AREA URBANA (015)",26,1,25
"De 14 a 29 años (016)",12,1,11
"De 30 a 44 años (017)",10,,10
"De 45 a 64 años (018)",2,,2
"De 65 y más años (019)",2,,2
"Hombres (020)",20,1,19
"De 14 a 29 años (021)",9,1,8
"De 30 a 44 años (022)",7,,7
"De 45 a 64 años (023)",2,,2
"De 65 y más años (024)",2,,2
"Mujeres (025)",6,,6
"De 14 a 29 años (026)",3,,3
"De 30 a 44 años (027)",3,,3
,,,
"AREA RURAL (030)",66,10,56
"De 14 a 29 años (031)",27,9,18
"De 30 a 44 años (032)",23,1,22
"De 45 a 64 años (033)",11,,11
"De 65 y más años (034)",5,,5
"Hombres (035)",57,7,50
"De 14 a 29 años (036)",23,7,16
"De 30 a 44 años (037)",20,,20
"De 45 a 64 años (038)",9,,9
"De 65 y más años (039)",5,,5
"Mujeres (040)",9,3,6
"De 14 a 29 años (041)",4,2,2
"De 30 a 44 años (042)",3,1,2
"De 45 a 64 años (043)",2,,2
