"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PADRE ABAD (000)",22400,11284,60,351,9608,427,21,26,46,577
"Hombres (001)",8445,5740,37,156,1929,194,14,13,46,316
"Mujeres (002)",13955,5544,23,195,7679,233,7,13,,261
"De 06 a 14 años (003)",9806,8827,,,468,310,4,5,,192
"Hombres (004)",4942,4496,,,209,136,4,3,,94
"Mujeres (005)",4864,4331,,,259,174,,2,,98
"De 15 a 29 años (006)",6797,2362,8,143,4061,,6,9,46,162
"Hombres (007)",2109,1197,4,64,705,,5,5,46,83
"Mujeres (008)",4688,1165,4,79,3356,,1,4,,79
"De 30 a 44 años (009)",3490,74,7,115,3178,,7,5,,104
"Hombres (010)",720,35,4,52,560,,3,2,,64
"Mujeres (011)",2770,39,3,63,2618,,4,3,,40
"De 45 a 64 años (012)",1620,18,17,69,1444,,2,3,,67
"Hombres (013)",423,10,11,29,329,,1,1,,42
"Mujeres (014)",1197,8,6,40,1115,,1,2,,25
"De 65 y más años (015)",687,3,28,24,457,117,2,4,,52
"Hombres (016)",251,2,18,11,126,58,1,2,,33
"Mujeres (017)",436,1,10,13,331,59,1,2,,19
,,,,,,,,,,
"AREA URBANA (018)",12063,6295,44,201,4926,167,17,13,46,354
"Hombres (019)",4533,3086,29,94,992,78,11,4,46,193
"Mujeres (020)",7530,3209,15,107,3934,89,6,9,,161
"De 06 a 14 años (021)",5141,4650,,,280,100,4,5,,102
"Hombres (022)",2522,2299,,,119,44,4,3,,53
"Mujeres (023)",2619,2351,,,161,56,,2,,49
"De 15 a 29 años (024)",3924,1583,4,84,2101,,4,2,46,100
"Hombres (025)",1260,757,2,40,362,,3,,46,50
"Mujeres (026)",2664,826,2,44,1739,,1,2,,50
"De 30 a 44 años (027)",1819,48,5,62,1619,,6,2,,77
"Hombres (028)",374,24,3,31,266,,3,1,,46
"Mujeres (029)",1445,24,2,31,1353,,3,1,,31
"De 45 a 64 años (030)",801,12,15,38,698,,1,2,,35
"Hombres (031)",233,5,11,17,179,,,,,21
"Mujeres (032)",568,7,4,21,519,,1,2,,14
"De 65 y más años (033)",378,2,20,17,228,67,2,2,,40
"Hombres (034)",144,1,13,6,66,34,1,,,23
"Mujeres (035)",234,1,7,11,162,33,1,2,,17
,,,,,,,,,,
"AREA RURAL (036)",10337,4989,16,150,4682,260,4,13,,223
"Hombres (037)",3912,2654,8,62,937,116,3,9,,123
"Mujeres (038)",6425,2335,8,88,3745,144,1,4,,100
"De 06 a 14 años (039)",4665,4177,,,188,210,,,,90
"Hombres (040)",2420,2197,,,90,92,,,,41
"Mujeres (041)",2245,1980,,,98,118,,,,49
"De 15 a 29 años (042)",2873,779,4,59,1960,,2,7,,62
"Hombres (043)",849,440,2,24,343,,2,5,,33
"Mujeres (044)",2024,339,2,35,1617,,,2,,29
"De 30 a 44 años (045)",1671,26,2,53,1559,,1,3,,27
"Hombres (046)",346,11,1,21,294,,,1,,18
"Mujeres (047)",1325,15,1,32,1265,,1,2,,9
"De 45 a 64 años (048)",819,6,2,31,746,,1,1,,32
"Hombres (049)",190,5,,12,150,,1,1,,21
"Mujeres (050)",629,1,2,19,596,,,,,11
"De 65 y más años (051)",309,1,8,7,229,50,,2,,12
"Hombres (052)",107,1,5,5,60,24,,2,,10
"Mujeres (053)",202,,3,2,169,26,,,,2
