"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONDORCANQUI (000)",37669,9570,955,19437,6481,402,462,116,246
"Jefe o Jefa (001)",8720,1188,9,4011,2711,242,307,76,176
"Esposa(o)/ compa¤era(o) (002)",6134,1618,23,3539,799,54,61,12,28
"Hijo(a)/ hijastro(a) (003)",18374,5654,795,9837,1977,61,28,12,10
"Yerno/ nuera (004)",316,21,1,137,136,4,11,2,4
"Nieto(a) (005)",973,368,64,460,77,,3,1,
"Padres/ suegros (006)",199,154,,36,6,1,,1,1
"Otro(a) pariente (007)",2501,530,63,1231,615,22,22,6,12
"Trabajador(a) del hogar (008)",59,3,,30,26,,,,
"Pensionista (009)",17,2,,,7,1,2,1,4
"Otro(a) no pariente (010)",376,32,,156,127,17,28,5,11
"Hombres (012)",18695,3711,489,9246,4382,280,317,93,177
"Jefe o Jefa (013)",6932,554,4,3241,2459,201,258,69,146
"Esposa(o)/ compa¤era(o) (014)",131,17,2,54,44,7,3,1,3
"Hijo(a)/ hijastro(a) (015)",9360,2686,413,4956,1240,37,13,9,6
"Yerno/ nuera (016)",195,10,,69,100,3,8,2,3
"Nieto(a) (017)",472,173,35,217,45,,2,,
"Padres/ suegros (018)",54,31,,17,3,1,,1,1
"Otro(a) pariente (019)",1309,226,35,607,401,16,11,5,8
"Trabajador(a) del hogar (020)",11,1,,5,5,,,,
"Pensionista (021)",13,1,,,6,1,2,1,2
"Otro(a) no pariente (022)",218,12,,80,79,14,20,5,8
"Mujeres (024)",18974,5859,466,10191,2099,122,145,23,69
"Jefe o Jefa (025)",1788,634,5,770,252,41,49,7,30
"Esposa(o)/ compa¤era(o) (026)",6003,1601,21,3485,755,47,58,11,25
"Hijo(a)/ hijastro(a) (027)",9014,2968,382,4881,737,24,15,3,4
"Yerno/ nuera (028)",121,11,1,68,36,1,3,,1
"Nieto(a) (029)",501,195,29,243,32,,1,1,
"Padres/ suegros (030)",145,123,,19,3,,,,
"Otro(a) pariente (031)",1192,304,28,624,214,6,11,1,4
"Trabajador(a) del hogar (032)",48,2,,25,21,,,,
"Pensionista (033)",4,1,,,1,,,,2
"Otro(a) no pariente (034)",158,20,,76,48,3,8,,3
,,,,,,,,,
"URBANA (036)",5555,738,251,2301,1714,156,210,41,144
"Jefe o Jefa (037)",1273,74,4,389,507,68,116,24,91
"Esposa(o)/ compa¤era(o) (038)",739,82,5,339,230,22,37,6,18
"Hijo(a)/ hijastro(a) (039)",2381,431,195,1108,580,33,20,5,9
"Yerno/ nuera (040)",56,,,16,28,,7,1,4
"Nieto(a) (041)",205,55,25,89,34,,2,,
"Padres/ suegros (042)",25,10,,9,4,1,,,1
"Otro(a) pariente (043)",655,80,22,272,243,16,10,2,10
"Trabajador(a) del hogar (044)",42,1,,24,17,,,,
"Pensionista (045)",9,2,,,4,1,,,2
"Otro(a) no pariente (046)",170,3,,55,67,15,18,3,9
"Hombres (048)",2726,279,131,962,978,106,136,30,104
