"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia SAN MARCOS",,,,,,,
"Hogares (001)",13119,296,136,186,212,229,12164
"Ocupantes presentes (002)",49938,1082,475,792,838,958,46184
"Casa independiente",,,,,,,
"Hogares (004)",12316,287,129,172,204,206,11419
"Ocupantes presentes (005)",47108,1049,449,740,807,859,43590
"Departamento en edificio",,,,,,,
"Hogares (007)",21,1,,1,,,19
"Ocupantes presentes (008)",67,5,,9,,,53
"Vivienda en quinta",,,,,,,
"Hogares (010)",93,1,1,,2,,89
"Ocupantes presentes (011)",304,3,2,,9,,290
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",17,1,1,,,,15
"Ocupantes presentes (014)",55,4,6,,,,45
"Choza o cabaña",,,,,,,
"Hogares (016)",665,6,5,13,6,23,615
"Ocupantes presentes (017)",2379,21,18,43,22,99,2181
"Vivienda improvisada",,,,,,,
"Hogares (019)",1,,,,,,1
"Ocupantes presentes (020)",2,,,,,,2
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",6,,,,,,6
"Ocupantes presentes (023)",23,,,,,,23
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",2731,143,32,35,70,56,2430
"Ocupantes presentes (029)",10551,576,129,161,307,229,9283
"Casa independiente",,,,,,,
"Hogares (031)",2598,140,30,34,68,56,2305
"Ocupantes presentes (032)",10121,564,121,152,298,229,8891
"Departamento en edificio",,,,,,,
"Hogares (034)",21,1,,1,,,19
"Ocupantes presentes (035)",67,5,,9,,,53
"Vivienda en quinta",,,,,,,
"Hogares (037)",93,1,1,,2,,89
"Ocupantes presentes (038)",304,3,2,,9,,290
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",17,1,1,,,,15
"Ocupantes presentes (041)",55,4,6,,,,45
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",1,,,,,,1
"Ocupantes presentes (047)",2,,,,,,2
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",1,,,,,,1
"Ocupantes presentes (050)",2,,,,,,2
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",10388,153,104,151,142,173,9734
"Ocupantes presentes (056)",39387,506,346,631,531,729,36901
"Casa independiente",,,,,,,
"Hogares (058)",9718,147,99,138,136,150,9114
"Ocupantes presentes (059)",36987,485,328,588,509,630,34699
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",665,6,5,13,6,23,615
"Ocupantes presentes (071)",2379,21,18,43,22,99,2181
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",5,,,,,,5
"Ocupantes presentes (077)",21,,,,,,21
"Otro tipo",,,,,,,
