"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YAUYOS (000)",7147,66,2469,2591,874,279,167,47,6,,648
"Sin Nivel (001)",847,16,296,299,100,23,21,9,2,,81
"Primaria (003)",3087,29,1184,1171,322,113,70,21,2,,175
"Secundaria (004)",2095,17,796,729,227,69,42,14,1,,200
"Sup. no Univ. Incompleta (005)",255,2,69,103,28,12,4,,,,37
"Sup. no Univ. Completa (006)",396,1,62,147,88,25,12,2,,,59
"Sup. Univ. Incompleta (007)",98,,18,35,19,9,1,,,,16
"Sup. Univ. Completa (008)",369,1,44,107,90,28,17,1,1,,80
,,,,,,,,,,,
"URBANA (010)",4490,34,1436,1681,601,200,107,30,6,,395
"Sin Nivel (011)",373,7,113,149,47,12,12,4,2,,27
"Primaria (013)",1848,15,679,714,208,78,43,14,2,,95
"Secundaria (014)",1421,8,515,521,164,50,26,10,1,,126
"Sup. no Univ. Incompleta (015)",185,2,48,76,23,8,4,,,,24
"Sup. no Univ. Completa (016)",306,1,40,116,71,21,9,2,,,46
"Sup. Univ. Incompleta (017)",73,,9,27,18,7,1,,,,11
"Sup. Univ. Completa (018)",284,1,32,78,70,24,12,,1,,66
,,,,,,,,,,,
"RURAL (020)",2657,32,1033,910,273,79,60,17,,,253
"Sin Nivel (021)",474,9,183,150,53,11,9,5,,,54
"Primaria (023)",1239,14,505,457,114,35,27,7,,,80
"Secundaria (024)",674,9,281,208,63,19,16,4,,,74
"Sup. no Univ. Incompleta (025)",70,,21,27,5,4,,,,,13
"Sup. no Univ. Completa (026)",90,,22,31,17,4,3,,,,13
"Sup. Univ. Incompleta (027)",25,,9,8,1,2,,,,,5
"Sup. Univ. Completa (028)",85,,12,29,20,4,5,1,,,14
