"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BONGARA (000)",20247,2289,1639,756,15610
"Conviviente (001)",5256,382,372,166,4346
"Separado(a) (002)",405,28,23,15,340
"Casado(a) (003)",6062,364,707,269,4743
"Viudo(a) (004)",847,62,60,20,708
"Divorciado(a) (005)",61,4,6,5,46
"Soltero(a) (006)",7616,1449,471,281,5427
"Hombres (008)",10500,987,830,553,8162
"Conviviente (009)",2615,114,198,127,2184
"Separado(a) (010)",136,4,11,9,112
"Casado(a) (011)",3035,137,367,192,2353
"Viudo(a) (012)",183,9,9,5,161
"Divorciado(a) (013)",32,,2,5,25
"Soltero(a) (014)",4499,723,243,215,3327
"Mujeres (016)",9747,1302,809,203,7448
"Conviviente (017)",2641,268,174,39,2162
"Separado(a) (018)",269,24,12,6,228
"Casado(a) (019)",3027,227,340,77,2390
"Viudo(a) (020)",664,53,51,15,547
"Divorciado(a) (021)",29,4,4,,21
"Soltero(a) (022)",3117,726,228,66,2100
,,,,,
"URBANA (024)",12470,1368,1393,631,9123
"Conviviente (025)",2967,214,301,117,2345
"Separado(a) (026)",306,21,18,13,255
"Casado(a) (027)",3863,210,612,227,2834
"Viudo(a) (028)",529,32,49,17,434
"Divorciado(a) (029)",46,2,6,5,33
"Soltero(a) (030)",4759,889,407,252,3222
"Hombres (032)",6410,596,699,463,4682
"Conviviente (033)",1467,64,164,90,1157
"Separado(a) (034)",100,2,8,7,83
"Casado(a) (035)",1936,74,312,157,1406
"Viudo(a) (036)",111,6,9,4,93
"Divorciado(a) (037)",25,,2,5,18
"Soltero(a) (038)",2771,450,204,200,1925
"Mujeres (040)",6060,772,694,168,4441
"Conviviente (041)",1500,150,137,27,1188
"Separado(a) (042)",206,19,10,6,172
"Casado(a) (043)",1927,136,300,70,1428
"Viudo(a) (044)",418,26,40,13,341
"Divorciado(a) (045)",21,2,4,,15
"Soltero(a) (046)",1988,439,203,52,1297
,,,,,
"RURAL (048)",7777,921,246,125,6487
"Conviviente (049)",2289,168,71,49,2001
"Separado(a) (050)",99,7,5,2,85
"Casado(a) (051)",2199,154,95,42,1909
"Viudo(a) (052)",318,30,11,3,274
"Divorciado(a) (053)",15,2,,,13
"Soltero(a) (054)",2857,560,64,29,2205
"Hombres (056)",4090,391,131,90,3480
"Conviviente (057)",1148,50,34,37,1027
"Separado(a) (058)",36,2,3,2,29
"Casado(a) (059)",1099,63,55,35,947
"Viudo(a) (060)",72,3,,1,68
"Divorciado(a) (061)",7,,,,7
"Soltero(a) (062)",1728,273,39,15,1402
"Mujeres (064)",3687,530,115,35,3007
"Conviviente (065)",1141,118,37,12,974
"Separado(a) (066)",63,5,2,,56
"Casado(a) (067)",1100,91,40,7,962
"Viudo(a) (068)",246,27,11,2,206
"Divorciado(a) (069)",8,2,,,6
"Soltero(a) (070)",1129,287,25,14,803
