"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OYON (000)",18007,4098,5132,4295,2910,1572
"Hombres (001)",9520,2095,2740,2404,1553,728
"Mujeres (002)",8487,2003,2392,1891,1357,844
"PEA (003)",7803,82,2531,2863,1784,543
"Hombres (004)",5811,49,1885,2172,1323,382
"Mujeres (005)",1992,33,646,691,461,161
"Ocupada (006)",7550,79,2378,2804,1753,536
"Hombres (007)",5609,46,1767,2125,1294,377
"Mujeres (008)",1941,33,611,679,459,159
"Desocupada (009)",253,3,153,59,31,7
"Hombres (010)",202,3,118,47,29,5
"Mujeres (011)",51,,35,12,2,2
"No PEA (012)",10204,4016,2601,1432,1126,1029
"Hombres (013)",3709,2046,855,232,230,346
"Mujeres (014)",6495,1970,1746,1200,896,683
,,,,,,
"URBANA (018)",11443,2846,3257,2580,1738,1022
"Hombres (019)",5522,1446,1535,1234,842,465
"Mujeres (020)",5921,1400,1722,1346,896,557
"PEA (021)",4342,51,1385,1585,992,329
"Hombres (022)",3019,34,970,1093,690,232
"Mujeres (023)",1323,17,415,492,302,97
"Ocupada (024)",4175,50,1288,1541,971,325
"Hombres (025)",2889,33,897,1059,671,229
"Mujeres (026)",1286,17,391,482,300,96
"Desocupada (027)",167,1,97,44,21,4
"Hombres (028)",130,1,73,34,19,3
"Mujeres (029)",37,,24,10,2,1
"No PEA (030)",7101,2795,1872,995,746,693
"Hombres (031)",2503,1412,565,141,152,233
"Mujeres (032)",4598,1383,1307,854,594,460
,,,,,,
"RURAL (036)",6564,1252,1875,1715,1172,550
"Hombres (037)",3998,649,1205,1170,711,263
"Mujeres (038)",2566,603,670,545,461,287
"PEA (039)",3461,31,1146,1278,792,214
"Hombres (040)",2792,15,915,1079,633,150
"Mujeres (041)",669,16,231,199,159,64
"Ocupada (042)",3375,29,1090,1263,782,211
"Hombres (043)",2720,13,870,1066,623,148
"Mujeres (044)",655,16,220,197,159,63
"Desocupada (045)",86,2,56,15,10,3
"Hombres (046)",72,2,45,13,10,2
"Mujeres (047)",14,,11,2,,1
"No PEA (048)",3103,1221,729,437,380,336
"Hombres (049)",1206,634,290,91,78,113
"Mujeres (050)",1897,587,439,346,302,223
