"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUARMEY (000)",26251,1070,2670,3162,2638,4478,4234,5831,2168
"Sabe leer y escribir (001)",23815,,2124,3133,2622,4417,4147,5565,1807
"No sabe leer y escribir (002)",2436,1070,546,29,16,61,87,266,361
"Hombres (004)",13651,564,1368,1645,1412,2289,2131,3105,1137
"Sabe leer y escribir (005)",12544,,1070,1627,1403,2267,2105,3034,1038
"No sabe leer y escribir (006)",1107,564,298,18,9,22,26,71,99
"Mujeres (008)",12600,506,1302,1517,1226,2189,2103,2726,1031
"Sabe leer y escribir (009)",11271,,1054,1506,1219,2150,2042,2531,769
"No sabe leer y escribir (010)",1329,506,248,11,7,39,61,195,262
,,,,,,,,,
"URBANA (012)",19947,767,1979,2406,1986,3340,3321,4487,1661
"Sabe leer y escribir (013)",18350,,1597,2391,1976,3313,3286,4358,1429
"No sabe leer y escribir (014)",1597,767,382,15,10,27,35,129,232
"Hombres (016)",10166,387,1001,1236,1041,1668,1629,2344,860
"Sabe leer y escribir (017)",9445,,803,1226,1035,1655,1615,2314,797
"No sabe leer y escribir (018)",721,387,198,10,6,13,14,30,63
"Mujeres (020)",9781,380,978,1170,945,1672,1692,2143,801
"Sabe leer y escribir (021)",8905,,794,1165,941,1658,1671,2044,632
"No sabe leer y escribir (022)",876,380,184,5,4,14,21,99,169
,,,,,,,,,
"RURAL (024)",6304,303,691,756,652,1138,913,1344,507
"Sabe leer y escribir (025)",5465,,527,742,646,1104,861,1207,378
"No sabe leer y escribir (026)",839,303,164,14,6,34,52,137,129
"Hombres (028)",3485,177,367,409,371,621,502,761,277
"Sabe leer y escribir (029)",3099,,267,401,368,612,490,720,241
"No sabe leer y escribir (030)",386,177,100,8,3,9,12,41,36
"Mujeres (032)",2819,126,324,347,281,517,411,583,230
"Sabe leer y escribir (033)",2366,,260,341,278,492,371,487,137
"No sabe leer y escribir (034)",453,126,64,6,3,25,40,96,93
