"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAITA (000)",100096,12039,3594,38387,30045,4891,5710,2400,3030
"Jefe o Jefa (001)",25735,2304,25,10106,8232,1383,1953,575,1157
"Esposa(o)/ compa¤era(o) (002)",17669,1884,25,7568,4979,852,1361,325,675
"Hijo(a)/ hijastro(a) (003)",43425,5907,2910,16141,12614,2063,1786,1170,834
"Yerno/ nuera (004)",2012,37,5,460,994,147,212,68,89
"Nieto(a) (005)",4371,992,465,1714,894,124,74,78,30
"Padres/ suegros (006)",741,303,,367,49,4,10,3,5
"Otro(a) pariente (007)",4842,540,151,1719,1715,232,223,132,130
"Trabajador(a) del hogar (008)",84,11,,31,32,7,1,,2
"Pensionista (009)",379,6,,77,202,23,24,12,35
"Otro(a) no pariente (010)",838,55,13,204,334,56,66,37,73
"Hombres (012)",50137,5411,1792,18667,16293,2477,2709,1215,1573
"Jefe o Jefa (013)",19995,1478,17,7738,6736,1104,1541,459,922
"Esposa(o)/ compa¤era(o) (014)",672,54,2,241,252,37,41,20,25
"Hijo(a)/ hijastro(a) (015)",22857,3002,1474,8484,7071,1034,811,583,398
"Yerno/ nuera (016)",851,6,5,163,424,58,115,29,51
"Nieto(a) (017)",2229,517,215,885,466,63,42,27,14
"Padres/ suegros (018)",219,48,,136,18,3,7,3,4
"Otro(a) pariente (019)",2646,273,77,877,1033,130,107,65,84
"Trabajador(a) del hogar (020)",10,,,1,8,1,,,
"Pensionista (021)",248,5,,54,129,14,15,8,23
"Otro(a) no pariente (022)",410,28,2,88,156,33,30,21,52
"Mujeres (024)",49959,6628,1802,19720,13752,2414,3001,1185,1457
"Jefe o Jefa (025)",5740,826,8,2368,1496,279,412,116,235
"Esposa(o)/ compa¤era(o) (026)",16997,1830,23,7327,4727,815,1320,305,650
"Hijo(a)/ hijastro(a) (027)",20568,2905,1436,7657,5543,1029,975,587,436
"Yerno/ nuera (028)",1161,31,,297,570,89,97,39,38
"Nieto(a) (029)",2142,475,250,829,428,61,32,51,16
"Padres/ suegros (030)",522,255,,231,31,1,3,,1
"Otro(a) pariente (031)",2196,267,74,842,682,102,116,67,46
"Trabajador(a) del hogar (032)",74,11,,30,24,6,1,,2
"Pensionista (033)",131,1,,23,73,9,9,4,12
"Otro(a) no pariente (034)",428,27,11,116,178,23,36,16,21
,,,,,,,,,
"URBANA (036)",95585,11277,3456,36123,29060,4770,5578,2376,2945
"Jefe o Jefa (037)",24605,2093,20,9483,8016,1364,1917,572,1140
"Esposa(o)/ compa¤era(o) (038)",16767,1720,24,7050,4847,844,1332,325,625
"Hijo(a)/ hijastro(a) (039)",41382,5610,2800,15209,12076,1984,1734,1153,816
"Yerno/ nuera (040)",1937,31,5,431,968,143,206,64,89
"Nieto(a) (041)",4199,961,448,1623,869,118,72,78,30
"Padres/ suegros (042)",714,282,,361,49,4,10,3,5
"Otro(a) pariente (043)",4704,512,146,1661,1676,228,219,132,130
"Trabajador(a) del hogar (044)",84,11,,31,32,7,1,,2
