"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LA UNION (000)",13419,2525,226,5932,3081,297,595,186,577
"Hombres (001)",6684,654,117,3120,1873,175,330,114,301
"Mujeres (002)",6735,1871,109,2812,1208,122,265,72,276
"PEA (003)",5951,1035,9,2111,1540,207,448,124,477
"Hombres (004)",3620,365,4,1371,1107,148,269,85,271
"Mujeres (005)",2331,670,5,740,433,59,179,39,206
"Ocupada (006)",5843,1019,9,2073,1512,202,438,121,469
"Hombres (007)",3541,355,4,1344,1084,144,263,82,265
"Mujeres (008)",2302,664,5,729,428,58,175,39,204
"Desocupada (009)",108,16,,38,28,5,10,3,8
"Hombres (010)",79,10,,27,23,4,6,3,6
"Mujeres (011)",29,6,,11,5,1,4,,2
"No PEA (012)",7468,1490,217,3821,1541,90,147,62,100
"Hombres (013)",3064,289,113,1749,766,27,61,29,30
"Mujeres (014)",4404,1201,104,2072,775,63,86,33,70
,,,,,,,,,
"URBANA (018)",6573,805,127,2725,1760,195,384,127,450
"Hombres (019)",3239,156,69,1385,1032,113,186,79,219
"Mujeres (020)",3334,649,58,1340,728,82,198,48,231
"PEA (021)",2998,341,5,889,852,135,300,91,385
"Hombres (022)",1723,94,2,545,559,100,159,60,204
"Mujeres (023)",1275,247,3,344,293,35,141,31,181
"Ocupada (024)",2924,328,5,869,831,131,291,89,380
"Hombres (025)",1673,87,2,532,542,97,154,58,201
"Mujeres (026)",1251,241,3,337,289,34,137,31,179
"Desocupada (027)",74,13,,20,21,4,9,2,5
"Hombres (028)",50,7,,13,17,3,5,2,3
"Mujeres (029)",24,6,,7,4,1,4,,2
"No PEA (030)",3575,464,122,1836,908,60,84,36,65
"Hombres (031)",1516,62,67,840,473,13,27,19,15
"Mujeres (032)",2059,402,55,996,435,47,57,17,50
,,,,,,,,,
"RURAL (036)",6846,1720,99,3207,1321,102,211,59,127
"Hombres (037)",3445,498,48,1735,841,62,144,35,82
"Mujeres (038)",3401,1222,51,1472,480,40,67,24,45
"PEA (039)",2953,694,4,1222,688,72,148,33,92
"Hombres (040)",1897,271,2,826,548,48,110,25,67
"Mujeres (041)",1056,423,2,396,140,24,38,8,25
"Ocupada (042)",2919,691,4,1204,681,71,147,32,89
"Hombres (043)",1868,268,2,812,542,47,109,24,64
"Mujeres (044)",1051,423,2,392,139,24,38,8,25
"Desocupada (045)",34,3,,18,7,1,1,1,3
"Hombres (046)",29,3,,14,6,1,1,1,3
"Mujeres (047)",5,,,4,1,,,,
"No PEA (048)",3893,1026,95,1985,633,30,63,26,35
"Hombres (049)",1548,227,46,909,293,14,34,10,15
"Mujeres (050)",2345,799,49,1076,340,16,29,16,20
