"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia BELLAVISTA (000)",18612,35,765,315,295,1490,7446,541,796,6396,25,508
"Agric., ganadería, caza y silvicultura (001)",12640,,5,8,2,,7442,5,25,5153,,
"Pesca (002)",6,,,,,,4,,,2,,
"Explotación de minas y canteras (003)",2,,,,,,,1,,1,,
"Industrias manufactureras (004)",429,,3,18,10,3,,373,9,13,,
"Suministro de electricidad, gas y agua (005)",28,,1,7,4,,,3,1,12,,
"Construcción (006)",368,1,2,14,1,,,10,184,156,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1650,2,9,38,9,1111,,143,15,323,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",189,1,1,9,,46,,117,10,5,,
"Comercio al por mayor (009)",65,,1,5,2,50,,,4,3,,
"Comercio al por menor (010)",1396,1,7,24,7,1015,,26,1,315,,
"Hoteles y restaurantes (011)",486,,1,13,7,316,,,,149,,
"Trans., almac. y comunicaciones (012)",637,,2,11,16,1,,2,534,71,,
"Intermediación financiera (013)",22,,1,5,15,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",137,,17,46,29,21,,1,19,4,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",248,17,14,13,128,5,,2,6,38,25,
"Enseñanza (016)",707,15,658,2,25,,,,,7,,
"Servicios sociales y de salud (017)",142,,39,82,11,2,,1,2,5,,
"Otras activ. serv.comun.soc y personales (018)",172,,11,54,14,31,,,1,61,,
"Hogares privados con servicio doméstico (019)",398,,,,,,,,,398,,
"Actividad economica no especificada (021)",540,,2,4,24,,,,,2,,508
"Hombres (022)",14276,29,393,231,148,643,6992,459,786,4396,24,175
"Agric., ganadería, caza y silvicultura (023)",10887,,5,8,1,,6988,5,25,3855,,
"Pesca (024)",6,,,,,,4,,,2,,
"Explotación de minas y canteras (025)",2,,,,,,,1,,1,,
"Industrias manufactureras (026)",337,,3,16,6,1,,291,9,11,,
"Suministro de electricidad, gas y agua (027)",27,,1,7,4,,,3,1,11,,
"Construcción (028)",357,,2,14,1,,,10,179,151,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",927,1,6,29,4,558,,143,14,172,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",170,1,1,9,,27,,117,10,5,,
"Comercio al por mayor (031)",43,,,2,1,33,,,4,3,,
"Comercio al por menor (032)",714,,5,18,3,498,,26,,164,,
"Hoteles y restaurantes (033)",88,,,4,3,43,,,,38,,
"Trans., almac. y comunicaciones (034)",615,,2,7,10,1,,2,530,63,,
"Intermediación financiera (035)",17,,1,4,12,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",109,,15,37,13,21,,1,19,3,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",170,15,12,11,65,5,,2,6,30,24,
"Enseñanza (038)",351,13,317,1,13,,,,,7,,
"Servicios sociales y de salud (039)",74,,18,42,7,1,,1,2,3,,
"Otras activ. serv.comun.soc y personales (040)",100,,9,49,1,13,,,1,27,,
"Hogares privados con servicio doméstico (041)",22,,,,,,,,,22,,
"Actividad economica no especificada (043)",187,,2,2,8,,,,,,,175
"Mujeres (044)",4336,6,372,84,147,847,454,82,10,2000,1,333
"Agric., ganadería, caza y silvicultura (045)",1753,,,,1,,454,,,1298,,
"Industrias manufactureras (048)",92,,,2,4,2,,82,,2,,
"Suministro de electricidad, gas y agua (049)",1,,,,,,,,,1,,
"Construcción (050)",11,1,,,,,,,5,5,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",723,1,3,9,5,553,,,1,151,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",19,,,,,19,,,,,,
"Comercio al por mayor (053)",22,,1,3,1,17,,,,,,
"Comercio al por menor (054)",682,1,2,6,4,517,,,1,151,,
"Hoteles y restaurantes (055)",398,,1,9,4,273,,,,111,,
"Trans., almac. y comunicaciones (056)",22,,,4,6,,,,4,8,,
"Intermediación financiera (057)",5,,,1,3,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",28,,2,9,16,,,,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",78,2,2,2,63,,,,,8,1,
"Enseñanza (060)",356,2,341,1,12,,,,,,,
"Servicios sociales y de salud (061)",68,,21,40,4,1,,,,2,,
"Otras activ. serv.comun.soc y personales (062)",72,,2,5,13,18,,,,34,,
"Hogares privados con servicio doméstico (063)",376,,,,,,,,,376,,
"Actividad economica no especificada (065)",353,,,2,16,,,,,2,,333
,,,,,,,,,,,,
"URBANA (066)",10596,33,646,297,283,1207,3046,463,701,3647,25,248
"Agric., ganadería, caza y silvicultura (067)",5623,,3,7,2,,3043,4,18,2546,,
"Pesca (068)",5,,,,,,3,,,2,,
"Explotación de minas y canteras (069)",2,,,,,,,1,,1,,
"Industrias manufactureras (070)",363,,3,18,10,3,,307,9,13,,
"Suministro de electricidad, gas y agua (071)",27,,1,6,4,,,3,1,12,,
"Construcción (072)",332,1,2,14,1,,,10,162,142,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1424,2,7,36,9,919,,134,15,302,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",180,1,1,9,,46,,108,10,5,,
"Comercio al por mayor (075)",57,,1,5,2,42,,,4,3,,
"Comercio al por menor (076)",1187,1,5,22,7,831,,26,1,294,,
"Hoteles y restaurantes (077)",390,,1,12,7,228,,,,142,,
"Trans., almac. y comunicaciones (078)",568,,2,11,14,1,,2,471,67,,
"Intermediación financiera (079)",22,,1,5,15,,,,,1,,
"Activid.inmobil., empres. y alquileres (080)",131,,17,45,29,19,,1,16,4,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",235,16,14,13,122,5,,1,6,33,25,
"Enseñanza (082)",592,14,546,2,24,,,,,6,,
"Servicios sociales y de salud (083)",126,,36,72,9,2,,,2,5,,
"Otras activ. serv.comun.soc y personales (084)",161,,11,52,14,30,,,1,53,,
"Hogares privados con servicio doméstico (085)",316,,,,,,,,,316,,
"Actividad economica no especificada (087)",279,,2,4,23,,,,,2,,248
"Hombres (088)",7604,27,335,218,142,526,2830,389,691,2322,24,100
"Agric., ganadería, caza y silvicultura (089)",4687,,3,7,1,,2827,4,18,1827,,
"Pesca (090)",5,,,,,,3,,,2,,
"Explotación de minas y canteras (091)",2,,,,,,,1,,1,,
"Industrias manufactureras (092)",279,,3,16,6,1,,233,9,11,,
"Suministro de electricidad, gas y agua (093)",26,,1,6,4,,,3,1,11,,
"Construcción (094)",322,,2,14,1,,,10,157,138,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",786,1,5,28,4,444,,134,14,156,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",161,1,1,9,,27,,108,10,5,,
"Comercio al por mayor (097)",36,,,2,1,26,,,4,3,,
"Comercio al por menor (098)",589,,4,17,3,391,,26,,148,,
"Hoteles y restaurantes (099)",86,,,4,3,42,,,,37,,
"Trans., almac. y comunicaciones (100)",547,,2,7,9,1,,2,467,59,,
"Intermediación financiera (101)",17,,1,4,12,,,,,,,
"Activid.inmobil., empres. y alquileres (102)",103,,15,36,13,19,,1,16,3,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",162,14,12,11,62,5,,1,6,27,24,
"Enseñanza (104)",294,12,263,1,12,,,,,6,,
"Servicios sociales y de salud (105)",65,,17,35,7,1,,,2,3,,
"Otras activ. serv.comun.soc y personales (106)",94,,9,47,1,13,,,1,23,,
"Hogares privados con servicio doméstico (107)",18,,,,,,,,,18,,
"Actividad economica no especificada (109)",111,,2,2,7,,,,,,,100
"Mujeres (110)",2992,6,311,79,141,681,216,74,10,1325,1,148
"Agric., ganadería, caza y silvicultura (111)",936,,,,1,,216,,,719,,
"Industrias manufactureras (114)",84,,,2,4,2,,74,,2,,
"Suministro de electricidad, gas y agua (115)",1,,,,,,,,,1,,
"Construcción (116)",10,1,,,,,,,5,4,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",638,1,2,8,5,475,,,1,146,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",19,,,,,19,,,,,,
"Comercio al por mayor (119)",21,,1,3,1,16,,,,,,
"Comercio al por menor (120)",598,1,1,5,4,440,,,1,146,,
"Hoteles y restaurantes (121)",304,,1,8,4,186,,,,105,,
"Trans., almac. y comunicaciones (122)",21,,,4,5,,,,4,8,,
"Intermediación financiera (123)",5,,,1,3,,,,,1,,
"Activid.inmobil., empres. y alquileres (124)",28,,2,9,16,,,,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",73,2,2,2,60,,,,,6,1,
"Enseñanza (126)",298,2,283,1,12,,,,,,,
"Servicios sociales y de salud (127)",61,,19,37,2,1,,,,2,,
"Otras activ. serv.comun.soc y personales (128)",67,,2,5,13,17,,,,30,,
"Hogares privados con servicio doméstico (129)",298,,,,,,,,,298,,
"Actividad economica no especificada (131)",168,,,2,16,,,,,2,,148
,,,,,,,,,,,,
"RURAL (132)",8016,2,119,18,12,283,4400,78,95,2749,,260
"Agric., ganadería, caza y silvicultura (133)",7017,,2,1,,,4399,1,7,2607,,
"Pesca (134)",1,,,,,,1,,,,,
"Industrias manufactureras (136)",66,,,,,,,66,,,,
"Suministro de electricidad, gas y agua (137)",1,,,1,,,,,,,,
"Construcción (138)",36,,,,,,,,22,14,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",226,,2,2,,192,,9,,21,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",9,,,,,,,9,,,,
"Comercio al por mayor (141)",8,,,,,8,,,,,,
"Comercio al por menor (142)",209,,2,2,,184,,,,21,,
"Hoteles y restaurantes (143)",96,,,1,,88,,,,7,,
"Trans., almac. y comunicaciones (144)",69,,,,2,,,,63,4,,
"Activid.inmobil., empres. y alquileres (146)",6,,,1,,2,,,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",13,1,,,6,,,1,,5,,
"Enseñanza (148)",115,1,112,,1,,,,,1,,
"Servicios sociales y de salud (149)",16,,3,10,2,,,1,,,,
"Otras activ. serv.comun.soc y personales (150)",11,,,2,,1,,,,8,,
"Hogares privados con servicio doméstico (151)",82,,,,,,,,,82,,
"Actividad economica no especificada (153)",261,,,,1,,,,,,,260
"Hombres (154)",6672,2,58,13,6,117,4162,70,95,2074,,75
"Agric., ganadería, caza y silvicultura (155)",6200,,2,1,,,4161,1,7,2028,,
"Pesca (156)",1,,,,,,1,,,,,
"Industrias manufactureras (158)",58,,,,,,,58,,,,
"Suministro de electricidad, gas y agua (159)",1,,,1,,,,,,,,
"Construcción (160)",35,,,,,,,,22,13,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",141,,1,1,,114,,9,,16,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",9,,,,,,,9,,,,
"Comercio al por mayor (163)",7,,,,,7,,,,,,
"Comercio al por menor (164)",125,,1,1,,107,,,,16,,
"Hoteles y restaurantes (165)",2,,,,,1,,,,1,,
"Trans., almac. y comunicaciones (166)",68,,,,1,,,,63,4,,
"Activid.inmobil., empres. y alquileres (168)",6,,,1,,2,,,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",8,1,,,3,,,1,,3,,
"Enseñanza (170)",57,1,54,,1,,,,,1,,
"Servicios sociales y de salud (171)",9,,1,7,,,,1,,,,
"Otras activ. serv.comun.soc y personales (172)",6,,,2,,,,,,4,,
"Hogares privados con servicio doméstico (173)",4,,,,,,,,,4,,
"Actividad economica no especificada (175)",76,,,,1,,,,,,,75
"Mujeres (176)",1344,,61,5,6,166,238,8,,675,,185
"Agric., ganadería, caza y silvicultura (177)",817,,,,,,238,,,579,,
"Industrias manufactureras (180)",8,,,,,,,8,,,,
"Construcción (182)",1,,,,,,,,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",85,,1,1,,78,,,,5,,
"Comercio al por mayor (185)",1,,,,,1,,,,,,
"Comercio al por menor (186)",84,,1,1,,77,,,,5,,
"Hoteles y restaurantes (187)",94,,,1,,87,,,,6,,
"Trans., almac. y comunicaciones (188)",1,,,,1,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",5,,,,3,,,,,2,,
"Enseñanza (192)",58,,58,,,,,,,,,
"Servicios sociales y de salud (193)",7,,2,3,2,,,,,,,
"Otras activ. serv.comun.soc y personales (194)",5,,,,,1,,,,4,,
"Hogares privados con servicio doméstico (195)",78,,,,,,,,,78,,
"Actividad economica no especificada (197)",185,,,,,,,,,,,185
