"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CASMA",,,
"Viviendas particulares (001)",10377,7937,2440
"Ocupantes presentes (002)",42100,33713,8387
"Casa independiente",,,
"Viviendas particulares (004)",10185,7813,2372
"Ocupantes presentes (005)",41469,33284,8185
"Departamento en edificio",,,
"Viviendas particulares (007)",27,27,
"Ocupantes presentes (008)",81,81,
"Vivienda en quinta",,,
"Viviendas particulares (010)",42,42,
"Ocupantes presentes (011)",135,135,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",18,17,1
"Ocupantes presentes (014)",53,49,4
"Choza o cabaña",,,
"Viviendas particulares (016)",25,2,23
"Ocupantes presentes (017)",83,7,76
"Vivienda improvisada",,,
"Viviendas particulares (019)",72,29,43
"Ocupantes presentes (020)",239,118,121
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",7,6,1
"Ocupantes presentes (023)",36,35,1
"Otro tipo",,,
"Viviendas particulares (025)",1,1,
"Ocupantes presentes (026)",4,4,
,,,
URBANA,,,
"Viviendas particulares (028)",7135,5958,1177
"Ocupantes presentes (029)",29251,25389,3862
"Casa independiente",,,
"Viviendas particulares (031)",6969,5837,1132
"Ocupantes presentes (032)",28708,24972,3736
"Departamento en edificio",,,
"Viviendas particulares (034)",27,27,
"Ocupantes presentes (035)",81,81,
"Vivienda en quinta",,,
"Viviendas particulares (037)",42,42,
"Ocupantes presentes (038)",135,135,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",18,17,1
"Ocupantes presentes (041)",53,49,4
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",72,29,43
"Ocupantes presentes (047)",239,118,121
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",6,5,1
"Ocupantes presentes (050)",31,30,1
"Otro tipo",,,
"Viviendas particulares (052)",1,1,
"Ocupantes presentes (053)",4,4,
,,,
RURAL,,,
"Viviendas particulares (055)",3242,1979,1263
"Ocupantes presentes (056)",12849,8324,4525
"Casa independiente",,,
"Viviendas particulares (058)",3216,1976,1240
"Ocupantes presentes (059)",12761,8312,4449
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",25,2,23
"Ocupantes presentes (071)",83,7,76
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,1,
"Ocupantes presentes (077)",5,5,
"Otro tipo",,,
