"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ILO (000)",26126,15237,3048,3525,4316
"Empleado (001)",9004,2807,1236,2044,2917
"Obrero (002)",6042,2156,1124,1396,1366
"Trabajador independiente (003)",9216,8631,585,,
"Empleador o patrono (004)",535,387,59,60,29
"Trabajador familiar no remunerado (005)",681,608,44,25,4
"Trabajador del hogar (006)",648,648,,,
"De 06 a 14 años (008)",155,141,10,4,
"Empleado (009)",13,11,2,,
"Obrero (010)",12,8,3,1,
"Trabajador independiente (011)",34,31,3,,
"Trabajador familiar no remunerado (013)",78,73,2,3,
"Trabajador del hogar (014)",18,18,,,
"De 15 a 29 años (016)",7411,4519,1112,963,817
"Empleado (017)",2767,1127,488,585,567
"Obrero (018)",1759,774,379,363,243
"Trabajador independiente (019)",2237,2034,203,,
"Empleador o patrono (020)",108,71,22,8,7
"Trabajador familiar no remunerado (021)",245,218,20,7,
"Trabajador del hogar (022)",295,295,,,
"De 30 a 44 años (024)",10552,5949,1220,1606,1777
"Empleado (025)",3920,1116,497,980,1327
"Obrero (026)",2289,807,460,590,432
"Trabajador independiente (027)",3722,3498,224,,
"Empleador o patrono (028)",233,164,24,29,16
"Trabajador familiar no remunerado (029)",170,146,15,7,2
"Trabajador del hogar (030)",218,218,,,
"De 45 a 64 años (032)",7168,3975,637,908,1648
"Empleado (033)",2181,507,224,457,993
"Obrero (034)",1830,494,262,425,649
"Trabajador independiente (035)",2745,2609,136,,
"Empleador o patrono (036)",166,128,12,20,6
"Trabajador familiar no remunerado (037)",137,128,3,6,
"Trabajador del hogar (038)",109,109,,,
"De 65 y más años (040)",840,653,69,44,74
"Empleado (041)",123,46,25,22,30
"Obrero (042)",152,73,20,17,42
"Trabajador independiente (043)",478,459,19,,
"Empleador o patrono (044)",28,24,1,3,
"Trabajador familiar no remunerado (045)",51,43,4,2,2
"Trabajador del hogar (046)",8,8,,,
,,,,,
"URBANA (048)",25791,15101,3037,3459,4194
"Empleado (049)",8835,2784,1232,2020,2799
"Obrero (050)",5962,2128,1118,1354,1362
"Trabajador independiente (051)",9148,8564,584,,
"Empleador o patrono (052)",534,386,59,60,29
"Trabajador familiar no remunerado (053)",666,593,44,25,4
"Trabajador del hogar (054)",646,646,,,
