"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONDESUYOS (000)",6355,6193,1668,796,842,671,892,613,390,321,162,19257
"De 12 a 14 años (001)",605,597,594,3,,,,,,,8,3
"De 15 a 19 años (002)",703,694,601,79,11,2,1,,,,9,111
"De 20 a 24 años (003)",657,610,193,262,119,25,7,4,,,47,630
"De 25 a 29 años (004)",593,559,93,156,171,85,46,7,1,,34,998
"De 30 a 34 años (005)",544,525,44,87,151,109,105,21,7,1,19,1379
"De 35 a 39 años (006)",564,556,26,54,140,133,126,51,17,9,8,1845
"De 40 a 44 años (007)",510,503,19,43,89,100,148,70,23,11,7,1941
"De 45 a 49 años (008)",402,391,13,31,45,56,99,80,42,25,11,1865
"De 50 y más años (009)",1777,1758,85,81,116,161,360,380,300,275,19,10485
"PEA (010)",2278,2208,385,354,351,320,347,228,125,98,70,7144
"De 12 a 14 años (011)",23,23,23,,,,,,,,,
"De 15 a 19 años (012)",145,143,107,31,4,1,,,,,2,42
"De 20 a 24 años (013)",242,224,94,83,34,10,2,1,,,18,196
"De 25 a 29 años (014)",269,248,63,77,66,32,8,2,,,21,351
"De 30 a 34 años (015)",253,245,29,45,70,51,39,7,3,1,8,593
"De 35 a 39 años (016)",270,264,17,35,69,65,53,18,5,2,6,777
"De 40 a 44 años (017)",259,253,14,26,40,53,74,31,10,5,6,929
"De 45 a 49 años (018)",203,200,10,19,30,37,47,29,19,9,3,838
"De 50 y más años (019)",614,608,28,38,38,71,124,140,88,81,6,3418
"Ocupada (020)",2226,2160,368,348,343,315,341,226,123,96,66,7022
"De 12 a 14 años (021)",21,21,21,,,,,,,,,
"De 15 a 19 años (022)",138,136,101,31,3,1,,,,,2,40
"De 20 a 24 años (023)",231,214,91,79,32,9,2,1,,,17,185
