"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CANTA (000)",147,6,75,32,26,8
"Conviviente (001)",41,,19,13,8,1
"Separado(a) (002)",3,,,1,2,
"Casado(a) (003)",26,,2,8,14,2
"Viudo(a) (004)",3,,,,,3
"Soltero(a) (006)",74,6,54,10,2,2
"Hombres (008)",116,5,57,28,19,7
"Conviviente (009)",34,,16,12,6,
"Separado(a) (010)",1,,,,1,
"Casado(a) (011)",21,,1,8,10,2
"Viudo(a) (012)",3,,,,,3
"Soltero(a) (014)",57,5,40,8,2,2
"Mujeres (016)",31,1,18,4,7,1
"Conviviente (017)",7,,3,1,2,1
"Separado(a) (018)",2,,,1,1,
"Casado(a) (019)",5,,1,,4,
"Soltero(a) (022)",17,1,14,2,,
,,,,,,
"AREA URBANA (024)",69,3,38,14,10,4
"Conviviente (025)",17,,10,5,2,
"Separado(a) (026)",2,,,1,1,
"Casado(a) (027)",10,,2,1,6,1
"Viudo(a) (028)",2,,,,,2
"Soltero(a) (030)",38,3,26,7,1,1
"Hombres (032)",52,2,29,10,7,4
"Conviviente (033)",16,,10,4,2,
"Casado(a) (035)",7,,1,1,4,1
"Viudo(a) (036)",2,,,,,2
"Soltero(a) (038)",27,2,18,5,1,1
"Mujeres (040)",17,1,9,4,3,
"Conviviente (041)",1,,,1,,
"Separado(a) (042)",2,,,1,1,
"Casado(a) (043)",3,,1,,2,
"Soltero(a) (046)",11,1,8,2,,
,,,,,,
"AREA RURAL (048)",78,3,37,18,16,4
"Conviviente (049)",24,,9,8,6,1
"Separado(a) (050)",1,,,,1,
"Casado(a) (051)",16,,,7,8,1
"Viudo(a) (052)",1,,,,,1
"Soltero(a) (054)",36,3,28,3,1,1
"Hombres (056)",64,3,28,18,12,3
"Conviviente (057)",18,,6,8,4,
"Separado(a) (058)",1,,,,1,
"Casado(a) (059)",14,,,7,6,1
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",30,3,22,3,1,1
"Mujeres (064)",14,,9,,4,1
"Conviviente (065)",6,,3,,2,1
"Casado(a) (067)",2,,,,2,
"Soltero(a) (070)",6,,6,,,
