"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia EL DORADO (000)",10606,10294,2522,1429,1504,1118,1504,966,1251,312
"Católica (001)",6919,6703,1706,971,994,738,934,601,759,216
"Cristiana/Evangélica (002)",2383,2337,515,269,300,243,394,258,358,46
"Otra (003)",400,394,88,45,62,44,58,43,54,6
"Ninguna (004)",904,860,213,144,148,93,118,64,80,44
,,,,,,,,,,
"URBANA (006)",4527,4388,1119,613,710,498,632,355,461,139
"Católica (007)",2971,2876,751,420,482,335,407,203,278,95
"Cristiana/Evangélica (008)",1030,1008,232,117,138,110,157,113,141,22
"Otra (009)",148,146,30,19,26,16,26,12,17,2
"Ninguna (010)",378,358,106,57,64,37,42,27,25,20
,,,,,,,,,,
"RURAL (012)",6079,5906,1403,816,794,620,872,611,790,173
"Católica (013)",3948,3827,955,551,512,403,527,398,481,121
"Cristiana/Evangélica (014)",1353,1329,283,152,162,133,237,145,217,24
"Otra (015)",252,248,58,26,36,28,32,31,37,4
"Ninguna (016)",526,502,107,87,84,56,76,37,55,24
