"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ATALAYA",,,,,,,,,
"Viviendas particulares (001)",191,107,29,8,19,,,2,26
"Ocupantes presentes (002)",769,443,109,31,72,,,19,95
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",178,99,27,8,19,,,2,23
"Ocupantes presentes (005)",725,417,107,31,72,,,19,79
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",8,5,2,,,,,,1
"Ocupantes presentes (011)",27,20,2,,,,,,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5,3,,,,,,,2
"Ocupantes presentes (014)",17,6,,,,,,,11
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",190,106,29,8,19,,,2,26
"Ocupantes presentes (029)",767,441,109,31,72,,,19,95
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",177,98,27,8,19,,,2,23
"Ocupantes presentes (032)",723,415,107,31,72,,,19,79
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",8,5,2,,,,,,1
"Ocupantes presentes (038)",27,20,2,,,,,,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5,3,,,,,,,2
"Ocupantes presentes (041)",17,6,,,,,,,11
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1,1,,,,,,,
"Ocupantes presentes (056)",2,2,,,,,,,
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1,1,,,,,,,
"Ocupantes presentes (059)",2,2,,,,,,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
