"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LAMAS (000)",623,183,440
"De 14 a 29 años (001)",357,143,214
"De 30 a 44 años (002)",148,37,111
"De 45 a 64 años (003)",94,3,91
"De 65 y más años (004)",24,,24
"Hombres (005)",446,112,334
"De 14 a 29 años (006)",232,80,152
"De 30 a 44 años (007)",118,29,89
"De 45 a 64 años (008)",76,3,73
"De 65 y más años (009)",20,,20
"Mujeres (010)",177,71,106
"De 14 a 29 años (011)",125,63,62
"De 30 a 44 años (012)",30,8,22
"De 45 a 64 años (013)",18,,18
"De 65 y más años (014)",4,,4
,,,
"AREA URBANA (015)",407,108,299
"De 14 a 29 años (016)",210,76,134
"De 30 a 44 años (017)",102,29,73
"De 45 a 64 años (018)",74,3,71
"De 65 y más años (019)",21,,21
"Hombres (020)",297,77,220
"De 14 a 29 años (021)",143,52,91
"De 30 a 44 años (022)",78,22,56
"De 45 a 64 años (023)",59,3,56
"De 65 y más años (024)",17,,17
"Mujeres (025)",110,31,79
"De 14 a 29 años (026)",67,24,43
"De 30 a 44 años (027)",24,7,17
"De 45 a 64 años (028)",15,,15
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",216,75,141
"De 14 a 29 años (031)",147,67,80
"De 30 a 44 años (032)",46,8,38
"De 45 a 64 años (033)",20,,20
"De 65 y más años (034)",3,,3
"Hombres (035)",149,35,114
"De 14 a 29 años (036)",89,28,61
"De 30 a 44 años (037)",40,7,33
"De 45 a 64 años (038)",17,,17
"De 65 y más años (039)",3,,3
"Mujeres (040)",67,40,27
"De 14 a 29 años (041)",58,39,19
"De 30 a 44 años (042)",6,1,5
"De 45 a 64 años (043)",3,,3
