"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia GENERAL SANCHEZ CERRO (000)",9390,8119,1271
"De 3 a 5 años (001)",1225,105,1120
"De 6 a 11 años (002)",2311,2183,128
"De 12 a 16 años (003)",2234,2229,5
"De 17 a 24 años (004)",3620,3602,18
"Hombres (005)",4891,4264,627
"De 3 a 5 años (006)",603,56,547
"De 6 a 11 años (007)",1172,1103,69
"De 12 a 16 años (008)",1193,1191,2
"De 17 a 24 años (009)",1923,1914,9
"Mujeres (010)",4499,3855,644
"De 3 a 5 años (011)",622,49,573
"De 6 a 11 años (012)",1139,1080,59
"De 12 a 16 años (013)",1041,1038,3
"De 17 a 24 años (014)",1697,1688,9
,,,
"URBANA (015)",4203,3684,519
"De 3 a 5 años (016)",505,45,460
"De 6 a 11 años (017)",1001,950,51
"De 12 a 16 años (018)",932,930,2
"De 17 a 24 años (019)",1765,1759,6
"Hombres (020)",2151,1878,273
"De 3 a 5 años (021)",267,29,238
"De 6 a 11 años (022)",505,474,31
"De 12 a 16 años (023)",488,488,
"De 17 a 24 años (024)",891,887,4
"Mujeres (025)",2052,1806,246
"De 3 a 5 años (026)",238,16,222
"De 6 a 11 años (027)",496,476,20
"De 12 a 16 años (028)",444,442,2
"De 17 a 24 años (029)",874,872,2
,,,
"RURAL (030)",5187,4435,752
"De 3 a 5 años (031)",720,60,660
"De 6 a 11 años (032)",1310,1233,77
"De 12 a 16 años (033)",1302,1299,3
"De 17 a 24 años (034)",1855,1843,12
"Hombres (035)",2740,2386,354
"De 3 a 5 años (036)",336,27,309
"De 6 a 11 años (037)",667,629,38
"De 12 a 16 años (038)",705,703,2
"De 17 a 24 años (039)",1032,1027,5
"Mujeres (040)",2447,2049,398
"De 3 a 5 años (041)",384,33,351
"De 6 a 11 años (042)",643,604,39
"De 12 a 16 años (043)",597,596,1
"De 17 a 24 años (044)",823,816,7
