"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OXAPAMPA (000)",32420,27175,1775,1439,2031
"Empleado (001)",4291,1670,636,762,1223
"Obrero (002)",6265,4267,590,613,795
"Trabajador independiente (003)",15070,14717,353,,
"Empleador o patrono (004)",585,477,52,49,7
"Trabajador familiar no remunerado (005)",5420,5255,144,15,6
"Trabajador del hogar (006)",789,789,,,
"De 06 a 14 años (008)",1091,1040,45,5,1
"Empleado (009)",32,29,3,,
"Obrero (010)",167,146,17,3,1
"Trabajador independiente (011)",36,36,,,
"Trabajador familiar no remunerado (013)",814,787,25,2,
"Trabajador del hogar (014)",42,42,,,
"De 15 a 29 años (016)",11688,9886,698,485,619
"Empleado (017)",1457,756,203,184,314
"Obrero (018)",2894,2010,298,285,301
"Trabajador independiente (019)",4111,3993,118,,
"Empleador o patrono (020)",120,99,7,12,2
"Trabajador familiar no remunerado (021)",2661,2583,72,4,2
"Trabajador del hogar (022)",445,445,,,
"De 30 a 44 años (024)",10979,8691,687,654,947
"Empleado (025)",1945,611,313,410,611
"Obrero (026)",1943,1206,188,216,333
"Trabajador independiente (027)",5575,5442,133,,
"Empleador o patrono (028)",208,161,22,23,2
"Trabajador familiar no remunerado (029)",1135,1098,31,5,1
"Trabajador del hogar (030)",173,173,,,
"De 45 a 64 años (032)",6938,5913,318,273,434
"Empleado (033)",808,256,109,161,282
"Obrero (034)",1048,722,83,97,146
"Trabajador independiente (035)",4119,4026,93,,
"Empleador o patrono (036)",202,169,19,11,3
"Trabajador familiar no remunerado (037)",654,633,14,4,3
"Trabajador del hogar (038)",107,107,,,
"De 65 y más años (040)",1724,1645,27,22,30
"Empleado (041)",49,18,8,7,16
"Obrero (042)",213,183,4,12,14
"Trabajador independiente (043)",1229,1220,9,,
"Empleador o patrono (044)",55,48,4,3,
"Trabajador familiar no remunerado (045)",156,154,2,,
"Trabajador del hogar (046)",22,22,,,
,,,,,
"URBANA (048)",13208,9598,997,939,1674
"Empleado (049)",3362,1185,422,669,1086
"Obrero (050)",2280,1208,265,229,578
"Trabajador independiente (051)",5881,5641,240,,
"Empleador o patrono (052)",298,229,27,35,7
"Trabajador familiar no remunerado (053)",914,862,43,6,3
"Trabajador del hogar (054)",473,473,,,
