"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BOLOGNESI (000)",30725,543,9275,7495,5935,4636,2841
"Hombres (001)",16004,275,4776,4025,3243,2327,1358
"Mujeres (002)",14721,268,4499,3470,2692,2309,1483
"Viviendas particulares (003)",28835,540,9233,6718,5159,4356,2829
"Hombres (004)",14321,272,4755,3354,2527,2063,1350
"Mujeres (005)",14514,268,4478,3364,2632,2293,1479
"Viviendas colectivas (006)",1440,2,14,602,615,200,7
"Hombres (007)",1315,2,7,534,574,194,4
"Mujeres (008)",125,,7,68,41,6,3
"Otro tipo (009)",450,1,28,175,161,80,5
"Hombres (010)",368,1,14,137,142,70,4
"Mujeres (011)",82,,14,38,19,10,1
,,,,,,,
"URBANA (012)",19382,315,5846,4732,3780,2919,1790
"Hombres (013)",9823,155,3013,2459,1948,1430,818
"Mujeres (014)",9559,160,2833,2273,1832,1489,972
"Viviendas particulares (015)",18577,312,5804,4420,3467,2791,1783
"Hombres (016)",9162,152,2992,2212,1678,1315,813
"Mujeres (017)",9415,160,2812,2208,1789,1476,970
"Viviendas colectivas (018)",355,2,14,137,152,48,2
"Hombres (019)",293,2,7,110,128,45,1
"Mujeres (020)",62,,7,27,24,3,1
"Otro tipo (021)",450,1,28,175,161,80,5
"Hombres (022)",368,1,14,137,142,70,4
"Mujeres (023)",82,,14,38,19,10,1
,,,,,,,
"RURAL (024)",11343,228,3429,2763,2155,1717,1051
"Hombres (025)",6181,120,1763,1566,1295,897,540
"Mujeres (026)",5162,108,1666,1197,860,820,511
"Viviendas particulares (027)",10258,228,3429,2298,1692,1565,1046
"Hombres (028)",5159,120,1763,1142,849,748,537
"Mujeres (029)",5099,108,1666,1156,843,817,509
"Viviendas colectivas (030)",1085,,,465,463,152,5
"Hombres (031)",1022,,,424,446,149,3
"Mujeres (032)",63,,,41,17,3,2
