"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",18352,2557,498,7466,5790,502,733,198,608
"Quechua (001)",4093,1030,28,1936,905,60,61,17,56
"Aymara (002)",14,,,5,5,2,1,,1
"Ashaninca (003)",1,,,,,,1,,
"Otra lengua nativa (004)",3,,,2,,1,,,
"Castellano (005)",14168,1489,470,5505,4871,439,664,179,551
"Es sordomudo/a (007)",73,38,,18,9,,6,2,
"Hombres (009)",9605,843,269,3650,3513,338,446,143,403
"Quechua (010)",1964,182,17,960,660,50,42,12,41
"Aymara (011)",6,,,3,2,,,,1
"Otra lengua nativa (013)",2,,,2,,,,,
"Castellano (014)",7589,633,252,2679,2848,288,399,129,361
"Es sordomudo/a (016)",44,28,,6,3,,5,2,
"Mujeres (018)",8747,1714,229,3816,2277,164,287,55,205
"Quechua (019)",2129,848,11,976,245,10,19,5,15
"Aymara (020)",8,,,2,3,2,1,,
"Ashaninca (021)",1,,,,,,1,,
"Otra lengua nativa (022)",1,,,,,1,,,
"Castellano (023)",6579,856,218,2826,2023,151,265,50,190
"Es sordomudo/a (025)",29,10,,12,6,,1,,
,,,,,,,,,
"URBANA (027)",5834,499,134,1774,2145,275,458,113,436
"Quechua (028)",801,135,1,320,267,21,27,5,25
"Aymara (029)",10,,,1,5,2,1,,1
"Castellano (032)",5017,360,133,1451,1873,252,430,108,410
"Es sordomudo/a (034)",6,4,,2,,,,,
"Hombres (036)",3174,176,71,858,1293,175,249,81,271
"Quechua (037)",487,30,1,177,225,17,17,5,15
"Aymara (038)",3,,,,2,,,,1
"Castellano (041)",2681,144,70,680,1066,158,232,76,255
"Es sordomudo/a (043)",3,2,,1,,,,,
"Mujeres (045)",2660,323,63,916,852,100,209,32,165
"Quechua (046)",314,105,,143,42,4,10,,10
"Aymara (047)",7,,,1,3,2,1,,
"Castellano (050)",2336,216,63,771,807,94,198,32,155
"Es sordomudo/a (052)",3,2,,1,,,,,
,,,,,,,,,
"RURAL (054)",12518,2058,364,5692,3645,227,275,85,172
"Quechua (055)",3292,895,27,1616,638,39,34,12,31
"Aymara (056)",4,,,4,,,,,
"Ashaninca (057)",1,,,,,,1,,
"Otra lengua nativa (058)",3,,,2,,1,,,
"Castellano (059)",9151,1129,337,4054,2998,187,234,71,141
"Es sordomudo/a (061)",67,34,,16,9,,6,2,
"Hombres (063)",6431,667,198,2792,2220,163,197,62,132
"Quechua (064)",1477,152,16,783,435,33,25,7,26
"Aymara (065)",3,,,3,,,,,
"Otra lengua nativa (067)",2,,,2,,,,,
"Castellano (068)",4908,489,182,1999,1782,130,167,53,106
"Es sordomudo/a (070)",41,26,,5,3,,5,2,
"Mujeres (072)",6087,1391,166,2900,1425,64,78,23,40
"Quechua (073)",1815,743,11,833,203,6,9,5,5
"Aymara (074)",1,,,1,,,,,
"Ashaninca (075)",1,,,,,,1,,
"Otra lengua nativa (076)",1,,,,,1,,,
"Castellano (077)",4243,640,155,2055,1216,57,67,18,35
"Es sordomudo/a (079)",26,8,,11,6,,1,,
