"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LUCANAS (000)",49226,12043,5228,839,31150
"Conviviente (001)",11549,2442,998,164,7952
"Separado(a) (002)",1356,265,105,18,968
"Casado(a) (003)",16009,3192,2366,330,10137
"Viudo(a) (004)",3200,586,169,40,2406
"Divorciado(a) (005)",212,25,28,7,152
"Soltero(a) (006)",16900,5533,1562,280,9535
"Hombres (008)",25279,5593,2689,562,16461
"Conviviente (009)",5932,997,512,112,4316
"Separado(a) (010)",489,70,39,12,368
"Casado(a) (011)",8243,1478,1286,225,5265
"Viudo(a) (012)",897,136,52,14,696
"Divorciado(a) (013)",109,8,14,6,81
"Soltero(a) (014)",9609,2904,786,193,5735
"Mujeres (016)",23947,6450,2539,277,14689
"Conviviente (017)",5617,1445,486,52,3636
"Separado(a) (018)",867,195,66,6,600
"Casado(a) (019)",7766,1714,1080,105,4872
"Viudo(a) (020)",2303,450,117,26,1710
"Divorciado(a) (021)",103,17,14,1,71
"Soltero(a) (022)",7291,2629,776,87,3800
,,,,,
"URBANA (024)",29268,6935,4515,604,17240
"Conviviente (025)",5667,1219,780,103,3570
"Separado(a) (026)",798,151,86,15,546
"Casado(a) (027)",10087,1841,2085,264,5909
"Viudo(a) (028)",1907,353,151,28,1376
"Divorciado(a) (029)",142,17,25,4,96
"Soltero(a) (030)",10667,3354,1388,190,5743
"Hombres (032)",14433,3187,2261,400,8606
"Conviviente (033)",2784,488,382,68,1850
"Separado(a) (034)",248,32,30,11,175
"Casado(a) (035)",5097,837,1104,182,2983
"Viudo(a) (036)",482,77,43,12,351
"Divorciado(a) (037)",66,7,11,3,45
"Soltero(a) (038)",5756,1746,691,124,3202
"Mujeres (040)",14835,3748,2254,204,8634
"Conviviente (041)",2883,731,398,35,1720
"Separado(a) (042)",550,119,56,4,371
"Casado(a) (043)",4990,1004,981,82,2926
"Viudo(a) (044)",1425,276,108,16,1025
"Divorciado(a) (045)",76,10,14,1,51
"Soltero(a) (046)",4911,1608,697,66,2541
,,,,,
"RURAL (048)",19958,5108,713,235,13910
"Conviviente (049)",5882,1223,218,61,4382
"Separado(a) (050)",558,114,19,3,422
"Casado(a) (051)",5922,1351,281,66,4228
"Viudo(a) (052)",1293,233,18,12,1030
"Divorciado(a) (053)",70,8,3,3,56
"Soltero(a) (054)",6233,2179,174,90,3792
"Hombres (056)",10846,2406,428,162,7855
"Conviviente (057)",3148,509,130,44,2466
"Separado(a) (058)",241,38,9,1,193
"Casado(a) (059)",3146,641,182,43,2282
"Viudo(a) (060)",415,59,9,2,345
"Divorciado(a) (061)",43,1,3,3,36
"Soltero(a) (062)",3853,1158,95,69,2533
"Mujeres (064)",9112,2702,285,73,6055
"Conviviente (065)",2734,714,88,17,1916
"Separado(a) (066)",317,76,10,2,229
"Casado(a) (067)",2776,710,99,23,1946
"Viudo(a) (068)",878,174,9,10,685
"Divorciado(a) (069)",27,7,,,20
"Soltero(a) (070)",2380,1021,79,21,1259
