"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia RECUAY (000)",5493,43,1883,1997,636,240,128,54,12,,500
"Sin Nivel (001)",1307,11,468,457,133,69,38,24,5,,102
"Educación Inicial (002)",12,,3,5,1,1,,,,,2
"Primaria (003)",2141,24,834,793,216,85,55,19,5,,110
"Secundaria (004)",1237,6,438,474,122,32,15,5,2,,143
"Sup. no Univ. Incompleta (005)",219,,56,69,29,4,3,2,,,56
"Sup. no Univ. Completa (006)",346,1,48,131,89,31,10,2,,,34
"Sup. Univ. Incompleta (007)",75,,20,21,8,5,1,,,,20
"Sup. Univ. Completa (008)",156,1,16,47,38,13,6,2,,,33
,,,,,,,,,,,
"URBANA (010)",3190,21,1018,1175,418,149,85,34,9,,281
"Sin Nivel (011)",626,3,202,218,63,36,22,13,3,,66
"Educación Inicial (012)",9,,2,3,1,1,,,,,2
"Primaria (013)",1172,12,444,428,131,47,39,12,4,,55
"Secundaria (014)",756,5,269,303,80,18,9,3,2,,67
"Sup. no Univ. Incompleta (015)",156,,43,54,26,4,2,2,,,25
"Sup. no Univ. Completa (016)",285,1,31,110,79,27,7,2,,,28
"Sup. Univ. Incompleta (017)",60,,14,17,8,4,1,,,,16
"Sup. Univ. Completa (018)",126,,13,42,30,12,5,2,,,22
,,,,,,,,,,,
"RURAL (020)",2303,22,865,822,218,91,43,20,3,,219
"Sin Nivel (021)",681,8,266,239,70,33,16,11,2,,36
"Educación Inicial (022)",3,,1,2,,,,,,,
"Primaria (023)",969,12,390,365,85,38,16,7,1,,55
"Secundaria (024)",481,1,169,171,42,14,6,2,,,76
"Sup. no Univ. Incompleta (025)",63,,13,15,3,,1,,,,31
"Sup. no Univ. Completa (026)",61,,17,21,10,4,3,,,,6
"Sup. Univ. Incompleta (027)",15,,6,4,,1,,,,,4
"Sup. Univ. Completa (028)",30,1,3,5,8,1,1,,,,11
