"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHINCHEROS (000)",47704,10014,1632,20631,12513,739,834,406,935
"Jefe o Jefa (001)",13341,3158,13,5813,3073,256,393,133,502
"Esposa(o)/ compa¤era(o) (002)",8662,2806,24,3631,1652,96,197,67,189
"Hijo(a)/ hijastro(a) (003)",21749,2929,1425,9850,6833,299,135,164,114
"Yerno/ nuera (004)",312,6,2,91,157,10,20,12,14
"Nieto(a) (005)",1280,308,130,565,257,13,3,3,1
"Padres/ suegros (006)",550,441,,92,10,1,2,2,2
"Otro(a) pariente (007)",1383,310,37,496,433,32,34,12,29
"Trabajador(a) del hogar (008)",22,5,,10,6,1,,,
"Pensionista (009)",15,2,,2,1,4,4,,2
"Otro(a) no pariente (010)",390,49,1,81,91,27,46,13,82
"Hombres (012)",23612,3449,786,10697,7019,414,472,228,547
"Jefe o Jefa (013)",9738,1505,6,4672,2541,204,310,111,389
"Esposa(o)/ compa¤era(o) (014)",665,111,3,283,190,6,29,13,30
"Hijo(a)/ hijastro(a) (015)",11324,1485,699,5034,3740,149,78,78,61
"Yerno/ nuera (016)",144,3,1,34,74,6,10,7,9
"Nieto(a) (017)",640,137,56,291,144,8,1,2,1
"Padres/ suegros (018)",161,87,,63,6,1,1,2,1
"Otro(a) pariente (019)",725,105,20,266,268,22,21,9,14
"Trabajador(a) del hogar (020)",5,,,3,1,1,,,
"Pensionista (021)",9,2,,2,1,2,1,,1
"Otro(a) no pariente (022)",201,14,1,49,54,15,21,6,41
"Mujeres (024)",24092,6565,846,9934,5494,325,362,178,388
"Jefe o Jefa (025)",3603,1653,7,1141,532,52,83,22,113
"Esposa(o)/ compa¤era(o) (026)",7997,2695,21,3348,1462,90,168,54,159
"Hijo(a)/ hijastro(a) (027)",10425,1444,726,4816,3093,150,57,86,53
"Yerno/ nuera (028)",168,3,1,57,83,4,10,5,5
"Nieto(a) (029)",640,171,74,274,113,5,2,1,
"Padres/ suegros (030)",389,354,,29,4,,1,,1
"Otro(a) pariente (031)",658,205,17,230,165,10,13,3,15
"Trabajador(a) del hogar (032)",17,5,,7,5,,,,
"Pensionista (033)",6,,,,,2,3,,1
"Otro(a) no pariente (034)",189,35,,32,37,12,25,7,41
,,,,,,,,,
"URBANA (036)",15270,2471,475,5879,4479,391,529,280,766
"Jefe o Jefa (037)",4282,626,2,1608,1121,148,267,98,412
"Esposa(o)/ compa¤era(o) (038)",2736,590,10,1029,666,70,152,56,163
"Hijo(a)/ hijastro(a) (039)",6869,933,414,2845,2321,129,49,96,82
"Yerno/ nuera (040)",106,2,,24,46,4,10,10,10
"Nieto(a) (041)",366,88,36,149,83,6,2,1,1
"Padres/ suegros (042)",173,126,,36,7,,2,1,1
"Otro(a) pariente (043)",503,90,12,140,189,20,18,9,25
"Trabajador(a) del hogar (044)",17,3,,9,4,1,,,
"Pensionista (045)",3,,,,,,1,,2
"Otro(a) no pariente (046)",215,13,1,39,42,13,28,9,70
