"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia MARISCAL LUZURIAGA (000)",11512,8526,2986
"De 3 a 5 años (001)",1748,69,1679
"De 6 a 11 años (002)",3719,2701,1018
"De 12 a 16 años (003)",2961,2892,69
"De 17 a 24 años (004)",3084,2864,220
"Hombres (005)",5835,4379,1456
"De 3 a 5 años (006)",886,32,854
"De 6 a 11 años (007)",1881,1376,505
"De 12 a 16 años (008)",1524,1492,32
"De 17 a 24 años (009)",1544,1479,65
"Mujeres (010)",5677,4147,1530
"De 3 a 5 años (011)",862,37,825
"De 6 a 11 años (012)",1838,1325,513
"De 12 a 16 años (013)",1437,1400,37
"De 17 a 24 años (014)",1540,1385,155
,,,
"URBANA (015)",1245,1034,211
"De 3 a 5 años (016)",168,15,153
"De 6 a 11 años (017)",378,334,44
"De 12 a 16 años (018)",359,354,5
"De 17 a 24 años (019)",340,331,9
"Hombres (020)",629,522,107
"De 3 a 5 años (021)",87,9,78
"De 6 a 11 años (022)",194,171,23
"De 12 a 16 años (023)",176,172,4
"De 17 a 24 años (024)",172,170,2
"Mujeres (025)",616,512,104
"De 3 a 5 años (026)",81,6,75
"De 6 a 11 años (027)",184,163,21
"De 12 a 16 años (028)",183,182,1
"De 17 a 24 años (029)",168,161,7
,,,
"RURAL (030)",10267,7492,2775
"De 3 a 5 años (031)",1580,54,1526
"De 6 a 11 años (032)",3341,2367,974
"De 12 a 16 años (033)",2602,2538,64
"De 17 a 24 años (034)",2744,2533,211
"Hombres (035)",5206,3857,1349
"De 3 a 5 años (036)",799,23,776
"De 6 a 11 años (037)",1687,1205,482
"De 12 a 16 años (038)",1348,1320,28
"De 17 a 24 años (039)",1372,1309,63
"Mujeres (040)",5061,3635,1426
"De 3 a 5 años (041)",781,31,750
"De 6 a 11 años (042)",1654,1162,492
"De 12 a 16 años (043)",1254,1218,36
"De 17 a 24 años (044)",1372,1224,148
