"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MOYOBAMBA (000)",56797,8164,17018,14263,17352
"Asiste actualmente (001)",33114,2766,15885,10661,3802
"No asiste (002)",23683,5398,1133,3602,13550
"Hombres (004)",29218,4263,8663,7360,8932
"Asiste actualmente (005)",17083,1417,8079,5542,2045
"No asiste (006)",12135,2846,584,1818,6887
"Mujeres (008)",27579,3901,8355,6903,8420
"Asiste actualmente (009)",16031,1349,7806,5119,1757
"No asiste (010)",11548,2552,549,1784,6663
,,,,,
"URBANA (012)",31660,4148,8925,8671,9916
"Asiste actualmente (013)",20925,1878,8533,7360,3154
"No asiste (014)",10735,2270,392,1311,6762
"Hombres (016)",15902,2162,4512,4392,4836
"Asiste actualmente (017)",10610,945,4318,3732,1615
"No asiste (018)",5292,1217,194,660,3221
"Mujeres (020)",15758,1986,4413,4279,5080
"Asiste actualmente (021)",10315,933,4215,3628,1539
"No asiste (022)",5443,1053,198,651,3541
,,,,,
"RURAL (024)",25137,4016,8093,5592,7436
"Asiste actualmente (025)",12189,888,7352,3301,648
"No asiste (026)",12948,3128,741,2291,6788
"Hombres (028)",13316,2101,4151,2968,4096
"Asiste actualmente (029)",6473,472,3761,1810,430
"No asiste (030)",6843,1629,390,1158,3666
"Mujeres (032)",11821,1915,3942,2624,3340
"Asiste actualmente (033)",5716,416,3591,1491,218
"No asiste (034)",6105,1499,351,1133,3122
