"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AZANGARO (000)",4640,1928,2712
"Sin nivel (001)",192,31,161
"Educación inicial (002)",7,5,2
"Primaria (003)",1088,323,765
"Secundaria (004)",2574,1228,1346
"Superior no univ. incompleta (005)",193,56,137
"Superior no univ. completa (006)",355,171,184
"Superior univ. incompleta (007)",63,28,35
"Superior univ. completa (008)",168,86,82
"Hombres (010)",3506,1276,2230
"Sin nivel (011)",135,15,120
"Educación inicial (012)",6,4,2
"Primaria (013)",828,196,632
"Secundaria (014)",1967,827,1140
"Superior no univ. incompleta (015)",152,41,111
"Superior no univ. completa (016)",249,112,137
"Superior univ. incompleta (017)",47,22,25
"Superior univ. completa (018)",122,59,63
"Mujeres (020)",1134,652,482
"Sin nivel (021)",57,16,41
"Educación inicial (022)",1,1,
"Primaria (023)",260,127,133
"Secundaria (024)",607,401,206
"Superior no univ. incompleta (025)",41,15,26
"Superior no univ. completa (026)",106,59,47
"Superior univ. incompleta (027)",16,6,10
"Superior univ. completa (028)",46,27,19
,,,
"AREA URBANA (030)",1429,559,870
"Sin nivel (031)",39,8,31
"Educación inicial (032)",1,1,
"Primaria (033)",314,95,219
"Secundaria (034)",686,286,400
"Superior no univ. incompleta (035)",81,22,59
"Superior no univ. completa (036)",191,90,101
"Superior univ. incompleta (037)",29,14,15
"Superior univ. completa (038)",88,43,45
"Hombres (040)",1054,370,684
"Sin nivel (041)",23,4,19
"Educación inicial (042)",1,1,
"Primaria (043)",226,54,172
"Secundaria (044)",528,198,330
"Superior no univ. incompleta (045)",63,18,45
"Superior no univ. completa (046)",125,55,70
"Superior univ. incompleta (047)",24,12,12
"Superior univ. completa (048)",64,28,36
"Mujeres (050)",375,189,186
"Sin nivel (051)",16,4,12
"Primaria (053)",88,41,47
"Secundaria (054)",158,88,70
"Superior no univ. incompleta (055)",18,4,14
"Superior no univ. completa (056)",66,35,31
"Superior univ. incompleta (057)",5,2,3
"Superior univ. completa (058)",24,15,9
,,,
"AREA RURAL (060)",3211,1369,1842
"Sin nivel (061)",153,23,130
"Educación inicial (062)",6,4,2
"Primaria (063)",774,228,546
"Secundaria (064)",1888,942,946
"Superior no univ. incompleta (065)",112,34,78
"Superior no univ. completa (066)",164,81,83
"Superior univ. incompleta (067)",34,14,20
"Superior univ. completa (068)",80,43,37
"Hombres (070)",2452,906,1546
"Sin nivel (071)",112,11,101
"Educación inicial (072)",5,3,2
"Primaria (073)",602,142,460
"Secundaria (074)",1439,629,810
"Superior no univ. incompleta (075)",89,23,66
"Superior no univ. completa (076)",124,57,67
"Superior univ. incompleta (077)",23,10,13
"Superior univ. completa (078)",58,31,27
"Mujeres (080)",759,463,296
"Sin nivel (081)",41,12,29
"Educación inicial (082)",1,1,
"Primaria (083)",172,86,86
"Secundaria (084)",449,313,136
"Superior no univ. incompleta (085)",23,11,12
"Superior no univ. completa (086)",40,24,16
"Superior univ. incompleta (087)",11,4,7
"Superior univ. completa (088)",22,12,10
