"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",85500,2330,38264,21886,6910,2676,1191,359,54,,11830
"Conviviente (001)",45136,1439,22463,10944,2914,1089,458,121,23,,5685
"Separado(a) (002)",5390,161,2495,1521,440,200,85,20,2,,466
"Casado(a) (003)",20442,400,8284,6041,2466,938,434,136,23,,1720
"Viudo(a) (004)",4525,135,2072,1221,293,142,108,62,4,,488
"Divorciado(a) (005)",460,8,166,142,59,31,11,2,,,41
"Soltero(a) (006)",9547,187,2784,2017,738,276,95,18,2,,3430
,,,,,,,,,,,
"URBANA (008)",74574,1476,32366,20176,6463,2461,1084,320,47,,10181
"Conviviente (009)",37628,824,18282,9802,2623,957,397,96,18,,4629
"Separado(a) (010)",4968,115,2269,1449,425,193,79,20,2,,416
"Casado(a) (011)",18412,280,7204,5678,2357,880,405,126,21,,1461
"Viudo(a) (012)",4140,104,1891,1156,273,136,100,59,4,,417
"Divorciado(a) (013)",427,7,148,136,57,30,11,2,,,36
"Soltero(a) (014)",8999,146,2572,1955,728,265,92,17,2,,3222
,,,,,,,,,,,
"RURAL (016)",10926,854,5898,1710,447,215,107,39,7,,1649
"Conviviente (017)",7508,615,4181,1142,291,132,61,25,5,,1056
"Separado(a) (018)",422,46,226,72,15,7,6,,,,50
"Casado(a) (019)",2030,120,1080,363,109,58,29,10,2,,259
"Viudo(a) (020)",385,31,181,65,20,6,8,3,,,71
"Divorciado(a) (021)",33,1,18,6,2,1,,,,,5
"Soltero(a) (022)",548,41,212,62,10,11,3,1,,,208
