"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAUYOS (000)",12764,8919,903,525,2417
"Agric., ganadería, caza y silvicultura (001)",6936,6640,277,16,3
"Pesca (002)",19,14,5,,
"Explotación de minas y canteras (003)",1569,141,82,149,1197
"Industrias manufactureras (004)",251,214,19,3,15
"Suministro de electricidad, gas y agua (005)",315,1,,44,270
"Construcción (006)",516,213,110,61,132
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",712,683,22,5,2
"Venta, mant.y rep. veh.autom y motoc. (008)",18,9,6,3,
"Comercio al por mayor (009)",24,21,1,,2
"Comercio al por menor (010)",670,653,15,2,
"Hoteles y restaurantes (011)",259,187,46,12,14
"Trans., almac. y comunicaciones (012)",212,168,21,12,11
"Intermediación financiera (013)",6,2,,,4
"Activid.inmobil., empres. y alquileres (014)",88,28,26,9,25
"Admin.pub. y defensa; p. segur soc.afil (015)",439,,,,439
"Enseñanza (016)",837,177,248,188,224
"Servicios sociales y de salud (017)",101,21,13,4,63
"Otras activ. serv.comun.soc y personales (018)",104,69,22,5,8
"Hogares privados con servicio doméstico (019)",123,123,,,
"Actividad economica no especificada (021)",277,238,12,17,10
"Hombres (022)",8543,5382,634,436,2091
"Agric., ganadería, caza y silvicultura (023)",4372,4172,185,12,3
"Pesca (024)",16,11,5,,
"Explotación de minas y canteras (025)",1560,138,80,148,1194
"Industrias manufactureras (026)",193,160,16,3,14
"Suministro de electricidad, gas y agua (027)",297,1,,43,253
"Construcción (028)",505,210,107,60,128
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",311,295,11,5,
"Venta, mant.y rep. veh.autom y motoc. (030)",17,9,5,3,
"Comercio al por mayor (031)",13,13,,,
"Comercio al por menor (032)",281,273,6,2,
"Hoteles y restaurantes (033)",74,33,24,7,10
"Trans., almac. y comunicaciones (034)",205,163,20,12,10
"Intermediación financiera (035)",4,1,,,3
"Activid.inmobil., empres. y alquileres (036)",74,24,21,7,22
"Admin.pub. y defensa; p. segur soc.afil (037)",295,,,,295
"Enseñanza (038)",440,63,142,117,118
"Servicios sociales y de salud (039)",46,11,4,4,27
"Otras activ. serv.comun.soc y personales (040)",51,30,12,3,6
"Hogares privados con servicio doméstico (041)",6,6,,,
"Actividad economica no especificada (043)",94,64,7,15,8
