"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CORONGO (000)",5020,4699,321
"Hombres (001)",2551,2459,92
"Mujeres (002)",2469,2240,229
"De 18 a 29 años (003)",1340,1274,66
"Hombres (004)",715,688,27
"Mujeres (005)",625,586,39
"De 30 a 44 años (006)",1520,1491,29
"Hombres (007)",774,767,7
"Mujeres (008)",746,724,22
"De 45 a 64 años (009)",1332,1275,57
"Hombres (010)",672,656,16
"Mujeres (011)",660,619,41
"De 65 y más años (012)",828,659,169
"Hombres (013)",390,348,42
"Mujeres (014)",438,311,127
,,,
"URBANA (015)",2656,2499,157
"Hombres (016)",1343,1299,44
"Mujeres (017)",1313,1200,113
"De 18 a 29 años (018)",619,591,28
"Hombres (019)",323,312,11
"Mujeres (020)",296,279,17
"De 30 a 44 años (021)",798,785,13
"Hombres (022)",424,421,3
"Mujeres (023)",374,364,10
"De 45 a 64 años (024)",732,706,26
"Hombres (025)",367,359,8
"Mujeres (026)",365,347,18
"De 65 y más años (027)",507,417,90
"Hombres (028)",229,207,22
"Mujeres (029)",278,210,68
,,,
"RURAL (030)",2364,2200,164
"Hombres (031)",1208,1160,48
"Mujeres (032)",1156,1040,116
"De 18 a 29 años (033)",721,683,38
"Hombres (034)",392,376,16
"Mujeres (035)",329,307,22
"De 30 a 44 años (036)",722,706,16
"Hombres (037)",350,346,4
"Mujeres (038)",372,360,12
"De 45 a 64 años (039)",600,569,31
"Hombres (040)",305,297,8
"Mujeres (041)",295,272,23
"De 65 y más años (042)",321,242,79
"Hombres (043)",161,141,20
"Mujeres (044)",160,101,59
