"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AZANGARO (000)",4682,58,2608,1292,578,146
"Sin nivel (001)",201,9,15,50,72,55
"Educación inicial (002)",7,,4,3,,
"Primaria (003)",1107,26,319,361,325,76
"Secundaria (004)",2588,23,1803,603,149,10
"Superior no univ. incompleta (005)",193,,116,63,13,1
"Superior no univ. completa (006)",355,,221,122,10,2
"Superior univ. incompleta (007)",63,,39,23,1,
"Superior univ. completa (008)",168,,91,67,8,2
"Hombres (010)",3531,32,1780,1077,514,128
"Sin nivel (011)",142,7,6,36,50,43
"Educación inicial (012)",6,,3,3,,
"Primaria (013)",839,14,183,281,290,71
"Secundaria (014)",1974,11,1272,537,144,10
"Superior no univ. incompleta (015)",152,,83,55,13,1
"Superior no univ. completa (016)",249,,142,96,9,2
"Superior univ. incompleta (017)",47,,29,18,,
"Superior univ. completa (018)",122,,62,51,8,1
"Mujeres (020)",1151,26,828,215,64,18
"Sin nivel (021)",59,2,9,14,22,12
"Educación inicial (022)",1,,1,,,
"Primaria (023)",268,12,136,80,35,5
"Secundaria (024)",614,12,531,66,5,
"Superior no univ. incompleta (025)",41,,33,8,,
"Superior no univ. completa (026)",106,,79,26,1,
"Superior univ. incompleta (027)",16,,10,5,1,
"Superior univ. completa (028)",46,,29,16,,1
,,,,,,
"Area Urbana (030)",1440,15,761,453,176,35
"Sin nivel (031)",41,2,3,15,14,7
"Educación inicial (032)",1,,,1,,
"Primaria (033)",319,6,75,119,98,21
"Secundaria (034)",690,7,432,196,51,4
"Superior no univ. incompleta (035)",81,,54,23,4,
"Superior no univ. completa (036)",191,,124,63,3,1
"Superior univ. incompleta (037)",29,,20,9,,
"Superior univ. completa (038)",88,,53,27,6,2
"Hombres (040)",1057,5,516,357,150,29
"Sin nivel (041)",23,,2,9,8,4
"Educación inicial (042)",1,,,1,,
"Primaria (043)",228,3,40,84,82,19
"Secundaria (044)",529,2,307,168,48,4
"Superior no univ. incompleta (045)",63,,39,20,4,
"Superior no univ. completa (046)",125,,75,47,2,1
"Superior univ. incompleta (047)",24,,17,7,,
"Superior univ. completa (048)",64,,36,21,6,1
"Mujeres (050)",383,10,245,96,26,6
"Sin nivel (051)",18,2,1,6,6,3
"Primaria (053)",91,3,35,35,16,2
"Secundaria (054)",161,5,125,28,3,
"Superior no univ. incompleta (055)",18,,15,3,,
"Superior no univ. completa (056)",66,,49,16,1,
"Superior univ. incompleta (057)",5,,3,2,,
"Superior univ. completa (058)",24,,17,6,,1
,,,,,,
"Area Rural (060)",3242,43,1847,839,402,111
"Sin nivel (061)",160,7,12,35,58,48
"Educación inicial (062)",6,,4,2,,
"Primaria (063)",788,20,244,242,227,55
"Secundaria (064)",1898,16,1371,407,98,6
"Superior no univ. incompleta (065)",112,,62,40,9,1
"Superior no univ. completa (066)",164,,97,59,7,1
"Superior univ. incompleta (067)",34,,19,14,1,
"Superior univ. completa (068)",80,,38,40,2,
"Hombres (070)",2474,27,1264,720,364,99
"Sin nivel (071)",119,7,4,27,42,39
"Educación inicial (072)",5,,3,2,,
"Primaria (073)",611,11,143,197,208,52
"Secundaria (074)",1445,9,965,369,96,6
"Superior no univ. incompleta (075)",89,,44,35,9,1
"Superior no univ. completa (076)",124,,67,49,7,1
"Superior univ. incompleta (077)",23,,12,11,,
"Superior univ. completa (078)",58,,26,30,2,
"Mujeres (080)",768,16,583,119,38,12
"Sin nivel (081)",41,,8,8,16,9
"Educación inicial (082)",1,,1,,,
"Primaria (083)",177,9,101,45,19,3
"Secundaria (084)",453,7,406,38,2,
"Superior no univ. incompleta (085)",23,,18,5,,
"Superior no univ. completa (086)",40,,30,10,,
"Superior univ. incompleta (087)",11,,7,3,1,
"Superior univ. completa (088)",22,,12,10,,
