"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CARABAYA",,,,,,,
"Viviendas particulares (001)",19221,2119,220,264,14901,667,1050
"Ocupantes presentes (002)",72425,6723,685,1022,59009,1992,2994
"Casa independiente",,,,,,,
"Viviendas particulares (004)",15661,1608,157,235,12823,384,454
"Ocupantes presentes (005)",61844,5490,484,944,52065,1252,1609
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",3,3,,,,,
"Ocupantes presentes (011)",15,15,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",317,299,,3,10,5,
"Ocupantes presentes (014)",716,663,,4,31,18,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",3199,205,63,24,2057,266,584
"Ocupantes presentes (017)",9763,547,201,69,6881,698,1367
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",2,1,,,,1,
"Ocupantes presentes (020)",9,3,,,,6,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",9,,,,2,6,1
"Ocupantes presentes (023)",16,,,,4,11,1
"Otro tipo",,,,,,,
"Viviendas particulares (025)",30,3,,2,9,5,11
"Ocupantes presentes (026)",62,5,,5,28,7,17
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",7160,1458,38,152,5114,152,246
"Ocupantes presentes (029)",29123,4879,169,646,21936,531,962
"Casa independiente",,,,,,,
"Viviendas particulares (031)",6830,1155,38,149,5102,141,245
"Ocupantes presentes (032)",28368,4198,169,642,21901,497,961
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",3,3,,,,,
"Ocupantes presentes (038)",15,15,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",317,299,,3,10,5,
"Ocupantes presentes (041)",716,663,,4,31,18,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",2,1,,,,1,
"Ocupantes presentes (047)",9,3,,,,6,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",8,,,,2,5,1
"Ocupantes presentes (050)",15,,,,4,10,1
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",12061,661,182,112,9787,515,804
"Ocupantes presentes (056)",43302,1844,516,376,37073,1461,2032
"Casa independiente",,,,,,,
"Viviendas particulares (058)",8831,453,119,86,7721,243,209
"Ocupantes presentes (059)",33476,1292,315,302,30164,755,648
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",3199,205,63,24,2057,266,584
"Ocupantes presentes (071)",9763,547,201,69,6881,698,1367
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,1,
"Ocupantes presentes (077)",1,,,,,1,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",30,3,,2,9,5,11
"Ocupantes presentes (080)",62,5,,5,28,7,17
