"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia RIOJA (000)",25466,570,12186,6777,1866,660,311,108,10,,2978
"Catolica (001)",13049,285,5928,3578,1064,410,168,57,5,,1554
"Cristiana / Evangelica (002)",7120,144,3573,1895,451,154,90,36,5,,772
"Otra (003)",2845,66,1375,755,219,59,45,12,,,314
"Ninguna (004)",2452,75,1310,549,132,37,8,3,,,338
,,,,,,,,,,,
"URBANA (006)",18937,382,8593,5218,1534,557,256,87,6,,2304
"Catolica (007)",9747,195,4157,2774,892,346,141,46,3,,1193
"Cristiana / Evangelica (008)",5200,87,2486,1426,360,128,75,31,3,,604
"Otra (009)",2217,45,1044,608,183,52,35,8,,,242
"Ninguna (010)",1773,55,906,410,99,31,5,2,,,265
,,,,,,,,,,,
"RURAL (012)",6529,188,3593,1559,332,103,55,21,4,,674
"Catolica (013)",3302,90,1771,804,172,64,27,11,2,,361
"Cristiana / Evangelica (014)",1920,57,1087,469,91,26,15,5,2,,168
"Otra (015)",628,21,331,147,36,7,10,4,,,72
"Ninguna (016)",679,20,404,139,33,6,3,1,,,73
