"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia VIRU (000)",31468,657,14929,9524,5154,1204
"Agric., ganadería, caza y silvicultura (001)",16368,374,7480,4828,2854,832
"Pesca (002)",109,,35,44,27,3
"Explotación de minas y canteras (003)",87,,39,37,8,3
"Industrias manufactureras (004)",4474,32,2975,1153,288,26
"Suministro de electricidad, gas y agua (005)",45,,15,20,10,
"Construcción (006)",1371,22,611,440,254,44
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2865,80,944,1070,662,109
"Venta, mant.y rep. veh.autom.y motoc. (008)",270,7,122,96,40,5
"Comercio al por mayor (009)",220,3,90,92,33,2
"Comercio al por menor (010)",2375,70,732,882,589,102
"Hoteles y restaurantes (011)",800,27,276,257,210,30
"Trans., almac. y comunicaciones (012)",1443,23,629,526,237,28
"Intermediación financiera (013)",40,,31,7,2,
"Activid.inmobil., empres. y alquileres (014)",637,3,308,235,81,10
"Admin.pub. y defensa; p. segur.soc afil (015)",234,,61,103,63,7
"Enseñanza (016)",335,,124,134,72,5
"Servicios sociales y de salud (017)",139,,64,53,17,5
"Otras activ. serv.comun.soc y personales (018)",350,9,154,114,59,14
"Hogares privados con servicio doméstico (019)",401,29,242,75,46,9
"Actividad economica no especificada (021)",986,7,494,276,152,57
"Desocupado (022)",784,51,447,152,112,22
"Hombres (023)",22416,448,10360,6697,3904,1007
"Agric., ganadería, caza y silvicultura (024)",13040,272,5828,3758,2417,765
"Pesca (025)",104,,34,41,26,3
"Explotación de minas y canteras (026)",82,,35,36,8,3
"Industrias manufactureras (027)",2772,25,1802,699,221,25
"Suministro de electricidad, gas y agua (028)",41,,15,16,10,
"Construcción (029)",1241,20,535,409,237,40
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1373,48,474,506,297,48
"Venta, mant.y rep. veh.autom.y motoc. (031)",248,7,114,86,36,5
"Comercio al por mayor (032)",135,,61,56,16,2
"Comercio al por menor (033)",990,41,299,364,245,41
"Hoteles y restaurantes (034)",198,12,72,57,49,8
"Trans., almac. y comunicaciones (035)",1363,21,582,497,235,28
"Intermediación financiera (036)",18,,13,3,2,
"Activid.inmobil., empres. y alquileres (037)",481,3,202,201,66,9
"Admin.pub. y defensa; p. segur.soc afil (038)",170,,41,70,52,7
"Enseñanza (039)",123,,31,39,49,4
"Servicios sociales y de salud (040)",66,,32,22,9,3
