"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YUNGUYO (000)",18617,18045,5894,1891,2014,1885,2839,2000,1028,494,572,51105
"De 12 a 14 años (001)",1673,1665,1661,4,,,,,,,8,4
"De 15 a 19 años (002)",2264,2235,2069,143,15,4,4,,,,29,201
"De 20 a 24 años (003)",1720,1540,821,445,187,62,23,2,,,180,1115
"De 25 a 29 años (004)",1687,1515,412,399,357,209,126,10,2,,172,2351
"De 30 a 34 años (005)",1588,1523,203,219,406,320,296,65,14,,65,3813
"De 35 a 39 años (006)",1581,1536,126,174,333,318,395,148,39,3,45,4830
"De 40 a 44 años (007)",1279,1258,96,109,181,209,361,200,85,17,21,4895
"De 45 a 49 años (008)",1193,1179,82,77,138,170,291,258,116,47,14,5313
"De 50 y más años (009)",5632,5594,424,321,397,593,1343,1317,772,427,38,28583
"PEA (010)",8485,8166,1664,1023,1077,1008,1526,1059,560,249,319,27208
"De 12 a 14 años (011)",81,80,80,,,,,,,,1,
"De 15 a 19 años (012)",488,475,407,58,7,,3,,,,13,84
"De 20 a 24 años (013)",875,783,414,228,94,32,13,2,,,92,581
"De 25 a 29 años (014)",968,858,266,221,189,111,65,4,2,,110,1244
"De 30 a 34 años (015)",917,872,129,141,217,174,166,35,10,,45,2129
"De 35 a 39 años (016)",907,881,79,95,192,180,226,85,22,2,26,2757
"De 40 a 44 años (017)",749,736,53,79,110,120,204,113,49,8,13,2794
"De 45 a 49 años (018)",672,665,49,43,77,100,172,133,68,23,7,2951
"De 50 y más años (019)",2828,2816,187,158,191,291,677,687,409,216,12,14668
"Ocupada (020)",8135,7843,1456,983,1055,996,1502,1051,553,247,292,26850
"De 12 a 14 años (021)",74,74,74,,,,,,,,,
