"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CAMANA (000)",50221,7040,7552,2662,33092
"Quechua (001)",6677,447,352,151,5733
"Aymara (002)",1292,65,62,20,1146
"Asháninka (003)",8,1,,1,6
"Otra lengua nativa (004)",10,1,3,2,5
"Castellano (005)",42197,6521,7134,2484,26174
"Idioma Extranjero (006)",5,,1,3,2
"Es Sordomudo/a (007)",32,5,,1,26
"Hombres (009)",26301,3201,3656,1515,17995
"Quechua (010)",3610,151,191,96,3177
"Aymara (011)",755,21,38,11,686
"Asháninka (012)",3,1,,,2
"Otra lengua nativa (013)",9,1,3,2,4
"Castellano (014)",21899,3023,3423,1402,14109
"Idioma Extranjero (015)",5,,1,3,2
"Es Sordomudo/a (016)",20,4,,1,15
"Mujeres (018)",23920,3839,3896,1147,15097
"Quechua (019)",3067,296,161,55,2556
"Aymara (020)",537,44,24,9,460
"Asháninka (021)",5,,,1,4
"Otra lengua nativa (022)",1,,,,1
"Castellano (023)",20298,3498,3711,1082,12065
"Es Sordomudo/a (025)",12,1,,,11
,,,,,
"URBANA (027)",42437,6005,7182,2483,26887
"Quechua (028)",4782,368,315,117,3987
"Aymara (029)",1121,58,58,19,987
"Asháninka (030)",7,1,,,6
"Otra lengua nativa (031)",9,1,3,2,4
"Castellano (032)",36486,5574,6805,2341,21878
"Idioma Extranjero (033)",5,,1,3,2
"Es Sordomudo/a (034)",27,3,,1,23
"Hombres (036)",21546,2736,3438,1391,14045
"Quechua (037)",2360,125,166,68,2005
"Aymara (038)",646,19,35,10,583
"Asháninka (039)",3,1,,,2
"Otra lengua nativa (040)",8,1,3,2,3
"Castellano (041)",18507,2587,3233,1307,11437
"Idioma Extranjero (042)",5,,1,3,2
"Es Sordomudo/a (043)",17,3,,1,13
"Mujeres (045)",20891,3269,3744,1092,12842
"Quechua (046)",2422,243,149,49,1982
"Aymara (047)",475,39,23,9,404
"Asháninka (048)",4,,,,4
"Otra lengua nativa (049)",1,,,,1
"Castellano (050)",17979,2987,3572,1034,10441
"Es Sordomudo/a (052)",10,,,,10
,,,,,
"RURAL (054)",7784,1035,370,179,6205
"Quechua (055)",1895,79,37,34,1746
"Aymara (056)",171,7,4,1,159
"Asháninka (057)",1,,,1,
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",5711,947,329,143,4296
"Es Sordomudo/a (061)",5,2,,,3
"Hombres (063)",4755,465,218,124,3950
"Quechua (064)",1250,26,25,28,1172
"Aymara (065)",109,2,3,1,103
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",3392,436,190,95,2672
"Es Sordomudo/a (070)",3,1,,,2
"Mujeres (072)",3029,570,152,55,2255
"Quechua (073)",645,53,12,6,574
"Aymara (074)",62,5,1,,56
"Asháninka (075)",1,,,1,
"Castellano (077)",2319,511,139,48,1624
"Es Sordomudo/a (079)",2,1,,,1
