"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUPACA (000)",11,10,1
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",2,2,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",2,2,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",3,2,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",2,2,
