"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CONCEPCION",,,,,,,,,
"Hogares (001)",14740,474,189,129,90,72,46,67,13673
"Ocupantes presentes (002)",59074,1590,567,435,346,321,232,383,55200
"Casa independiente",,,,,,,,,
"Hogares (004)",14393,465,186,127,88,71,44,64,13348
"Ocupantes presentes (005)",57551,1543,551,424,338,316,224,373,53782
"Departamento en edificio",,,,,,,,,
"Hogares (007)",9,,,,1,,,,8
"Ocupantes presentes (008)",26,,,,4,,,,22
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",93,3,,1,1,,1,1,86
"Ocupantes presentes (011)",398,19,,4,4,,2,3,366
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",57,3,1,,,1,1,1,50
"Ocupantes presentes (014)",220,7,4,,,5,6,2,196
"Choza o cabaña",,,,,,,,,
"Hogares (016)",177,3,2,1,,,,,171
"Ocupantes presentes (017)",822,21,12,7,,,,,782
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",4,,,,,,,,4
"Ocupantes presentes (020)",14,,,,,,,,14
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",7,,,,,,,1,6
"Ocupantes presentes (023)",43,,,,,,,5,38
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",7685,352,146,110,81,65,36,56,6839
"Ocupantes presentes (029)",30262,1165,456,366,313,286,181,324,27171
"Casa independiente",,,,,,,,,
"Hogares (031)",7516,346,145,109,79,64,34,53,6686
"Ocupantes presentes (032)",29562,1139,452,362,305,281,173,314,26536
"Departamento en edificio",,,,,,,,,
"Hogares (034)",9,,,,1,,,,8
"Ocupantes presentes (035)",26,,,,4,,,,22
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",93,3,,1,1,,1,1,86
"Ocupantes presentes (038)",398,19,,4,4,,2,3,366
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",57,3,1,,,1,1,1,50
"Ocupantes presentes (041)",220,7,4,,,5,6,2,196
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",4,,,,,,,,4
"Ocupantes presentes (047)",14,,,,,,,,14
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,,,,,,1,5
"Ocupantes presentes (050)",42,,,,,,,5,37
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7055,122,43,19,9,7,10,11,6834
"Ocupantes presentes (056)",28812,425,111,69,33,35,51,59,28029
"Casa independiente",,,,,,,,,
"Hogares (058)",6877,119,41,18,9,7,10,11,6662
"Ocupantes presentes (059)",27989,404,99,62,33,35,51,59,27246
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",177,3,2,1,,,,,171
"Ocupantes presentes (071)",822,21,12,7,,,,,782
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
