"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAMANA (000)",76,58,18
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",28,28,
"Casa pensión (003)",7,,7
"Hospital, clinica (004)",2,2,
"Cárcel, centro de readaptación social (005)",2,1,1
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",18,18,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",18,8,10
