"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",42580,6095,4307,572,31640
"Hombres (001)",21291,3045,2225,327,15717
"Mujeres (002)",21289,3050,2082,245,15923
"PEA (003)",13695,641,1549,211,11306
"Hombres (004)",10109,406,1031,168,8514
"Mujeres (005)",3586,235,518,43,2792
"Ocupada (006)",12313,593,1500,195,10036
"Hombres (007)",9096,372,1000,155,7579
"Mujeres (008)",3217,221,500,40,2457
"Desocupada (009)",1382,48,49,16,1270
"Hombres (010)",1013,34,31,13,935
"Mujeres (011)",369,14,18,3,335
"No PEA (012)",28885,5454,2758,361,20334
"Hombres (013)",11182,2639,1194,159,7203
"Mujeres (014)",17703,2815,1564,202,13131
,,,,,
"URBANA (018)",25227,3221,3542,436,18044
"Hombres (019)",12474,1524,1806,251,8905
"Mujeres (020)",12753,1697,1736,185,9139
"PEA (021)",8562,489,1342,183,6554
"Hombres (022)",6109,307,879,145,4784
"Mujeres (023)",2453,182,463,38,1770
"Ocupada (024)",7842,456,1301,171,5920
"Hombres (025)",5591,286,852,135,4324
"Mujeres (026)",2251,170,449,36,1596
"Desocupada (027)",720,33,41,12,634
"Hombres (028)",518,21,27,10,460
"Mujeres (029)",202,12,14,2,174
"No PEA (030)",16665,2732,2200,253,11490
"Hombres (031)",6365,1217,927,106,4121
"Mujeres (032)",10300,1515,1273,147,7369
,,,,,
"RURAL (036)",17353,2874,765,136,13596
"Hombres (037)",8817,1521,419,76,6812
"Mujeres (038)",8536,1353,346,60,6784
"PEA (039)",5133,152,207,28,4752
"Hombres (040)",4000,99,152,23,3730
"Mujeres (041)",1133,53,55,5,1022
"Ocupada (042)",4471,137,199,24,4116
"Hombres (043)",3505,86,148,20,3255
"Mujeres (044)",966,51,51,4,861
"Desocupada (045)",662,15,8,4,636
"Hombres (046)",495,13,4,3,475
"Mujeres (047)",167,2,4,1,161
"No PEA (048)",12220,2722,558,108,8844
"Hombres (049)",4817,1422,267,53,3082
"Mujeres (050)",7403,1300,291,55,5762
