"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia CAÑETE",,,
"Viviendas particulares (001)",30392,27357,3035
"Ocupantes presentes (002)",134264,121812,12452
"Casa independiente",,,
"Viviendas particulares (004)",28613,25718,2895
"Ocupantes presentes (005)",127073,115179,11894
"Departamento en edificio",,,
"Viviendas particulares (007)",353,336,17
"Ocupantes presentes (008)",1348,1292,56
"Vivienda en quinta",,,
"Viviendas particulares (010)",414,395,19
"Ocupantes presentes (011)",1658,1583,75
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",231,222,9
"Ocupantes presentes (014)",898,842,56
"Choza o cabaña",,,
"Viviendas particulares (016)",39,27,12
"Ocupantes presentes (017)",136,98,38
"Vivienda improvisada",,,
"Viviendas particulares (019)",673,596,77
"Ocupantes presentes (020)",2950,2629,321
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",67,61,6
"Ocupantes presentes (023)",191,179,12
"Otro tipo",,,
"Viviendas particulares (025)",2,2,
"Ocupantes presentes (026)",10,10,
,,,
URBANA,,,
"Viviendas particulares (028)",28525,26011,2514
"Ocupantes presentes (029)",126713,116298,10415
"Casa independiente",,,
"Viviendas particulares (031)",26788,24402,2386
"Ocupantes presentes (032)",119669,109774,9895
"Departamento en edificio",,,
"Viviendas particulares (034)",353,336,17
"Ocupantes presentes (035)",1348,1292,56
"Vivienda en quinta",,,
"Viviendas particulares (037)",414,395,19
"Ocupantes presentes (038)",1658,1583,75
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",231,222,9
"Ocupantes presentes (041)",898,842,56
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",673,596,77
"Ocupantes presentes (047)",2950,2629,321
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",65,59,6
"Ocupantes presentes (050)",186,174,12
"Otro tipo",,,
"Viviendas particulares (052)",1,1,
"Ocupantes presentes (053)",4,4,
,,,
RURAL,,,
"Viviendas particulares (055)",1867,1346,521
"Ocupantes presentes (056)",7551,5514,2037
"Casa independiente",,,
"Viviendas particulares (058)",1825,1316,509
"Ocupantes presentes (059)",7404,5405,1999
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",39,27,12
"Ocupantes presentes (071)",136,98,38
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",2,2,
"Ocupantes presentes (077)",5,5,
"Otro tipo",,,
"Viviendas particulares (079)",1,1,
"Ocupantes presentes (080)",6,6,
