"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia ATALAYA (000)",24004,16299,7705
"De 3 a 5 años (001)",4482,191,4291
"De 6 a 11 años (002)",7674,5430,2244
"De 12 a 16 años (003)",5302,4951,351
"De 17 a 24 años (004)",6546,5727,819
"Hombres (005)",12217,8450,3767
"De 3 a 5 años (006)",2221,99,2122
"De 6 a 11 años (007)",4017,2834,1183
"De 12 a 16 años (008)",2728,2572,156
"De 17 a 24 años (009)",3251,2945,306
"Mujeres (010)",11787,7849,3938
"De 3 a 5 años (011)",2261,92,2169
"De 6 a 11 años (012)",3657,2596,1061
"De 12 a 16 años (013)",2574,2379,195
"De 17 a 24 años (014)",3295,2782,513
,,,
"URBANA (015)",7781,6334,1447
"De 3 a 5 años (016)",1198,104,1094
"De 6 a 11 años (017)",2220,1942,278
"De 12 a 16 años (018)",2059,2028,31
"De 17 a 24 años (019)",2304,2260,44
"Hombres (020)",3956,3229,727
"De 3 a 5 años (021)",593,53,540
"De 6 a 11 años (022)",1143,989,154
"De 12 a 16 años (023)",1063,1048,15
"De 17 a 24 años (024)",1157,1139,18
"Mujeres (025)",3825,3105,720
"De 3 a 5 años (026)",605,51,554
"De 6 a 11 años (027)",1077,953,124
"De 12 a 16 años (028)",996,980,16
"De 17 a 24 años (029)",1147,1121,26
,,,
"RURAL (030)",16223,9965,6258
"De 3 a 5 años (031)",3284,87,3197
"De 6 a 11 años (032)",5454,3488,1966
"De 12 a 16 años (033)",3243,2923,320
"De 17 a 24 años (034)",4242,3467,775
"Hombres (035)",8261,5221,3040
"De 3 a 5 años (036)",1628,46,1582
"De 6 a 11 años (037)",2874,1845,1029
"De 12 a 16 años (038)",1665,1524,141
"De 17 a 24 años (039)",2094,1806,288
"Mujeres (040)",7962,4744,3218
"De 3 a 5 años (041)",1656,41,1615
"De 6 a 11 años (042)",2580,1643,937
"De 12 a 16 años (043)",1578,1399,179
"De 17 a 24 años (044)",2148,1661,487
